ID	Neighbors
DTXSID30671828	DTXSID00728934 DTXSID40725801 DTXSID20742915 DTXSID00524993 DTXSID20515823 DTXSID30668298 DTXSID70737250 DTXSID80411978 DTXSID10580409 DTXSID20521282 DTXSID10676477 DTXSID00589825 DTXSID60582110 DTXSID80166375 DTXSID90356629 DTXSID00147585 DTXSID10371950 DTXSID70328086 DTXSID90557270 DTXSID90312684
DTXSID6061785	DTXSID40153766 DTXSID50582088 DTXSID60731742 DTXSID80672284 DTXSID60875312 DTXSID20316392 DTXSID90771590 DTXSID60421111 DTXSID50218259 DTXSID70705176 DTXSID10721855 DTXSID5070787 DTXSID30555432 DTXSID50433208 DTXSID50230350 DTXSID20621599 DTXSID90311637 DTXSID60874860 DTXSID40617414 DTXSID10166166
DTXSID10773576	DTXSID40772153 DTXSID10820852 DTXSID10236772 DTXSID70554585 DTXSID30284058 DTXSID80790497 DTXSID00731721 DTXSID20296428 DTXSID80498244 DTXSID80630420 DTXSID50383219 DTXSID30190524 DTXSID20534559 DTXSID60635372 DTXSID40411535 DTXSID50398262 DTXSID70147239 DTXSID80410204 DTXSID00873993 DTXSID50422935
DTXSID60744433	DTXSID80542771 DTXSID20750914 DTXSID00493993 DTXSID20188036 DTXSID70482435 DTXSID00294301 DTXSID30730545 DTXSID70843921 DTXSID00143668 DTXSID00851115 DTXSID70356541 DTXSID20502516 DTXSID80658543 DTXSID70877483 DTXSID80488549 DTXSID40518896 DTXSID10415040 DTXSID70526328 DTXSID50684657 DTXSID80522735
DTXSID70855504	DTXSID50532563 DTXSID70517473 DTXSID20524556 DTXSID10644717 DTXSID90709393 DTXSID90517172 DTXSID90751094 DTXSID90644876 DTXSID30753815 DTXSID40603175 DTXSID70575679 DTXSID70224736 DTXSID10644378 DTXSID90523637 DTXSID40474206 DTXSID10853822 DTXSID90385535 DTXSID40329101 DTXSID60699090 DTXSID60496405
DTXSID10757230	DTXSID30389658 DTXSID20479411 DTXSID30789891 DTXSID20805291 DTXSID20569326 DTXSID90816894 DTXSID50198769 DTXSID60690284 DTXSID50316623 DTXSID40688366 DTXSID30180268 DTXSID20690346 DTXSID80697997 DTXSID50689122 DTXSID50471928 DTXSID80830024 DTXSID10145476 DTXSID50149756 DTXSID50377532 DTXSID10689123
DTXSID70737250	DTXSID20515823 DTXSID00524993 DTXSID80166375 DTXSID40166078 DTXSID80830908 DTXSID90356629 DTXSID10580409 DTXSID60361629 DTXSID10676477 DTXSID30668298 DTXSID30671828 DTXSID20682862 DTXSID00728934 DTXSID40725801 DTXSID70841765 DTXSID20742915 DTXSID60303564 DTXSID60467291 DTXSID20827433 DTXSID60295591
DTXSID10638777	DTXSID10711478 DTXSID10710668 DTXSID30875243 DTXSID80634342 DTXSID30485104 DTXSID20761843 DTXSID00624285 DTXSID90412512 DTXSID80630208 DTXSID20800261 DTXSID60847291 DTXSID40729384 DTXSID30229828 DTXSID30190524 DTXSID70159675 DTXSID90308300 DTXSID80638365 DTXSID00360318 DTXSID30296136 DTXSID20287477
DTXSID70780761	DTXSID00517522 DTXSID00347346 DTXSID70609084 DTXSID70607525 DTXSID80767366 DTXSID20389566 DTXSID50756085 DTXSID50558728 DTXSID80802842 DTXSID00656905 DTXSID0068101 DTXSID40765045 DTXSID00204369 DTXSID70706628 DTXSID50489442 DTXSID30498895 DTXSID00241214 DTXSID00808548 DTXSID50566666 DTXSID70597694
DTXSID70840192	DTXSID20726472 DTXSID30588886 DTXSID40193086 DTXSID60545583 DTXSID00517880 DTXSID40690747 DTXSID40590910 DTXSID60312994 DTXSID20789628 DTXSID10614076 DTXSID30491301 DTXSID50291744 DTXSID00228025 DTXSID30233369 DTXSID10592082 DTXSID70642810 DTXSID60683651 DTXSID60644863 DTXSID10635882 DTXSID20288444
