"","DIM1","DIM2"
"DTXSID20739729",-5.16380869214899,0.111718221283224
"DTXSID60307022",-5.17531505909104,-0.135697132570708
"DTXSID80494766",-5.17209569867024,1.87466370657892
"DTXSID00304656",-5.22121622983576,-2.26186107593116
"DTXSID40331002",-5.19461305308062,1.39942653965773
"DTXSID00364770",-5.1843920389214,2.2587969947405
"DTXSID60583006",-5.1869697270229,-1.49543032445446
"DTXSID10302365",-5.17306210966049,0.47777221379962
"DTXSID10296997",-5.15967892748569,-2.35416322731428
"DTXSID50198926",-5.21116292382133,-1.13503401410398
"DTXSID30319157",-5.18371289442022,2.09361581911826
"DTXSID50740601",-5.23148987303036,-1.74249466103331
"DTXSID10161555",-5.14206720574926,-1.37739921692015
"DTXSID50622130",-5.20016685727901,-0.0311155755839563
"DTXSID90727254",-5.14770851795076,3.19750136184952
"DTXSID50210192",-5.23363564594065,0.696855862998447
"DTXSID20747824",-5.22619435527483,1.21340756548366
"DTXSID80676267",-5.14621982930067,-0.446605313716501
"DTXSID90585119",-5.20141508102086,4.31982676497812
"DTXSID90155179",-5.14408096687499,0.348760691725634
"DTXSID40173404",-5.18526422527402,2.88159008605
"DTXSID00157462",-5.19644525279917,-0.399267606719911
"DTXSID60155904",-5.15065726155693,1.60221177690557
"DTXSID70324740",-5.13950479625372,-4.01505310898542
"DTXSID70788121",-5.19669435295061,-4.2885730324895
"DTXSID50846814",-5.18805616208747,1.37849249291772
"DTXSID70607166",-5.14725440111508,-4.01949803567108
"DTXSID70320621",-5.20439497678835,0.719150276127576
"DTXSID60852103",-5.18718277728912,-1.74484706521822
"DTXSID10183050",-5.14486539733169,-2.98389307234937
"DTXSID90481940",-5.14146008866777,0.0386724034331722
"DTXSID20613979",-5.16117025859805,-0.717977132883985
"DTXSID40286826",-5.23411513075114,0.634447113132443
"DTXSID00416349",-5.1431745550969,1.33852283790323
"DTXSID60293310",-5.14975012780156,-2.29303461670479
"DTXSID60150974",-5.17093858899487,0.306535037530043
"DTXSID90647246",-5.18609511499322,-3.06796251573204
"DTXSID60150439",-5.18291898800924,2.86423357623933
"DTXSID20668808",-5.19744240088774,1.97097398351549
"DTXSID00306857",-5.19177385747789,-1.22652389025073
"DTXSID00323327",-5.21429085575315,0.0417179885527985
"DTXSID30776408",-5.19522718771957,1.55387039468183
"DTXSID50146886",-5.17859777115321,-1.31897375331418
"DTXSID40740796",-5.20063170751437,0.0401323449694841
"DTXSID40516453",-5.14502130346343,-2.34251635323469
"DTXSID30181795",-5.20435210254855,-0.560236686501914
"DTXSID10316043",-5.2062316852512,1.94822406246856
"DTXSID00846844",-5.17661548165177,-1.07803533615004
"DTXSID50825902",-5.20387523490264,-5.14568010367197
"DTXSID40466989",-5.16461024278999,-1.17797950683448
"DTXSID00387888",-5.18551986255088,-0.336236794389786
"DTXSID60708838",-5.19443927833531,1.89926255433948
"DTXSID60362030",-5.20988876362019,3.24879968151796
"DTXSID10733872",-5.17169679607073,-1.09146724850034
"DTXSID80521920",-5.17453855218794,-0.518767427679357
"DTXSID40350511",-5.22444199550691,0.086535737467032
"DTXSID30764284",-5.17383345913099,-1.19826395228039
"DTXSID10146443",-5.17192756365704,-3.18028658222827
"DTXSID50317756",-5.16049861974627,-0.71143134423494
"DTXSID20698206",-5.14459456380866,-1.47312497785676
"DTXSID00812286",-5.20718330347274,0.900819417593486
"DTXSID70783070",-5.1486351729275,-0.848530103987541
"DTXSID30162867",-5.15324552272645,-5.54167416194847
"DTXSID80489374",-5.2344235797497,-1.12078097609199
"DTXSID40826584",-5.16923121838503,0.424445106257233
"DTXSID40206044",-5.23471584746089,0.894754667308728
"DTXSID40359887",-5.23746554511187,-1.54900833383848
"DTXSID30387356",-5.18712499795623,-1.92294219227911
"DTXSID10160664",-5.13931264889672,-1.28404029706055
"DTXSID70582005",-5.21830916630735,-0.832027820247714
"DTXSID20739406",-5.19967757887059,4.43948837869019
"DTXSID80170957",-5.23742659620254,-0.529503048847999
"DTXSID20186653",-5.18121486402846,-1.54826672792195
"DTXSID50749538",-5.19640058593224,-5.0758967684618
"DTXSID70648796",-5.2219591452941,-5.21740718430307
"DTXSID80364798",-5.14924557420935,-1.16633415870628
"DTXSID50414855",-5.16529894048837,-0.00978279315780341
"DTXSID60198896",-5.17344080900568,-0.969102496020366
"DTXSID20706991",-5.15107619298346,0.73760540799917
"DTXSID00404923",-5.22822713071582,-6.47034706534224
"DTXSID80727001",-5.17128628845732,-2.02143318279915
"DTXSID10571317",-5.13967706735292,-3.9141211943338
"DTXSID10480793",-5.22419822898886,2.54593722792547
"DTXSID30362906",-5.21902472423567,2.24548894119374
"DTXSID60705286",-5.21239626548369,0.609496042822326
"DTXSID40742614",-5.16418010988812,-0.140704360194937
"DTXSID50866971",-5.22247817793073,-1.2799882771711
"DTXSID20732775",-5.17670695952321,-4.97603402631192
"DTXSID90326423",-5.15155128063561,-1.28147000297401
"DTXSID50311173",-5.1948037773601,-1.07367230692314
"DTXSID90713233",-5.21034830916725,-3.19985670183039
"DTXSID80648989",-5.1515496338616,1.03938913422792
"DTXSID70415107",-5.23501224562076,-0.770876878763512
"DTXSID50235628",-5.18049211252201,-0.701177099748691
"DTXSID90413443",-5.19855818687109,-1.18335947918536
"DTXSID30458075",-5.17579216835823,-1.73116919144173
"DTXSID30537894",-5.22377622931984,-2.42131917147757
"DTXSID30582107",-5.21711157267039,-7.0198976254839
"DTXSID8023000",-5.18810205459888,-2.7863479370451
"DTXSID70157035",-5.16041142504886,-0.677945765869797
"DTXSID2069739",-5.17693396877345,-1.71123673654599
"DTXSID30504662",-5.21831744792692,1.76767705968
"DTXSID60156395",-5.15166896501749,-0.759347129597738
"DTXSID00857071",-5.16216993964773,-0.633967100397449
"DTXSID90625807",-5.15775751137679,-4.52687602859566
"DTXSID10829688",-5.20070415030886,-6.97230316876098
"DTXSID60412120",-5.13858211604511,-2.12217468142613
"DTXSID40193561",-5.18680295849307,-0.71583419895884
"DTXSID20160014",-5.21692802231382,-0.514035343811836
