"","DIM3","DIM4"
"DTXSID20809577",0.191276034005085,-0.630490976522025
"DTXSID60298906",0.0471016912550019,0.156762153985864
"DTXSID60291417",-1.8992198346955,-0.667101867328022
"DTXSID80767604",-1.0081520427212,-0.173076885670125
"DTXSID00225913",-0.949109507812499,0.213088970945803
"DTXSID2072330",-0.153353887631166,0.109879737580568
"DTXSID50409428",-0.200791380172068,1.19613681034562
"DTXSID30824438",0.12802866886042,1.16412235566288
"DTXSID00884100",-1.06772686335359,-0.18770346362518
"DTXSID10595114",-0.721893960244599,0.901024005956319
"DTXSID40519767",-1.78967185705788,-0.578779448732473
"DTXSID30817663",-0.563866709030648,0.0751841674554156
"DTXSID50333951",-1.78794446459108,-0.160032249203789
"DTXSID30455024",0.129154570590855,0.668320463349522
"DTXSID90490537",0.130970021117471,0.938576807643516
"DTXSID40395583",-1.77671134128655,-0.690675162620388
"DTXSID40282949",0.0842409304198724,1.35631289127831
"DTXSID20519548",-0.353874734165217,-0.703685196580379
"DTXSID50699988",0.280537259893936,1.75362775050376
"DTXSID60837814",-0.592403588367844,0.326325242554929
"DTXSID20534610",-0.329397234085896,0.805332874147372
"DTXSID60666484",-1.33456696258512,-0.514474553093156
"DTXSID80335584",-1.59676110750473,0.267129381938528
"DTXSID40209797",0.0234175474908961,1.34293487561985
"DTXSID40337645",-0.163189060296209,0.73805989847427
"DTXSID70546203",0.154011030686159,1.18760759289544
"DTXSID70587499",-1.68000515621891,-0.515309552867421
"DTXSID30484975",-1.75601413060335,0.179044409745681
"DTXSID40145449",-0.0358357060437782,0.61070654422184
"DTXSID60193563",-2.03263988431127,-0.83048741206201
"DTXSID30428278",-1.90097395493904,-0.690081546613632
"DTXSID80229232",-0.851541595193857,0.338125254089479
"DTXSID30558483",0.317419365832075,0.405854269520865
"DTXSID90660112",-0.819615198570938,0.157796060291681
"DTXSID10664334",-0.317834668954049,0.595899912782354
"DTXSID20381181",-1.28881044791026,0.181782918106374
"DTXSID00277932",-1.4592124736184,-0.0435558486518305
"DTXSID60573427",-0.462166274776635,0.245555528022013
"DTXSID10620152",-1.31755804587343,0.0868615184238086
"DTXSID20507940",-0.424081187365759,0.726880230723211
"DTXSID0067971",-2.09548549902803,-0.940778394049279
"DTXSID50560467",-1.47675367605377,-0.273352641507921
"DTXSID10802017",-0.453284825087208,-0.703210303774974
"DTXSID00693476",-0.439569492871814,0.717634736700119
"DTXSID00166776",-1.19828574404251,0.610668004350688
"DTXSID20626463",-1.23060291277582,0.22251058108852
"DTXSID60606547",-0.48859286426624,0.445118714215642
"DTXSID00280183",-0.16750163541601,0.470300678773461
"DTXSID20145068",-1.24736650835521,0.610281169605095
"DTXSID60408543",-1.05289350413737,-0.301472020957985
"DTXSID30594407",-1.56453987156084,-0.235034045059148
"DTXSID00471630",-0.405149909020515,0.0154025655618683
"DTXSID40674345",-0.941051245802921,0.477102503756835
"DTXSID30379539",-1.51251775499109,-0.460192758332923
"DTXSID30519574",-1.19186681643992,0.307443482398346
"DTXSID10511455",-0.23657824952131,1.92447006651096
"DTXSID2070479",0.0880707380046558,0.684670496406575
"DTXSID60291270",-1.11405026625847,-1.1554658414153
"DTXSID10572162",-1.48409959885524,-0.686481310701939
"DTXSID60208742",-0.55143454161819,0.854233584975641
"DTXSID20541829",1.04139052868895,1.41324907370423
"DTXSID90611346",-1.86841933980302,-0.351629168812458
"DTXSID10336201",-0.70727131965435,0.441192973841435
"DTXSID40334472",-0.807551012856951,-0.546814512238402
"DTXSID90695005",-0.404755199545309,1.1032950353691
"DTXSID20398512",-0.152852267049027,-0.385297873584498
"DTXSID90390306",-1.10295471920242,-0.226677006363788
"DTXSID00527984",-1.14213110583738,0.430844368499835
"DTXSID50626799",0.820505850663827,0.570580371976062
"DTXSID50597213",-1.92098161682606,-0.793742882372345
"DTXSID10343031",-1.04566630453725,0.136509170966531
"DTXSID30868190",0.152402361420707,0.744007870636256
"DTXSID20193786",-1.02809837432514,-0.0294615564204533
