ID	Neighbors
DTXSID10219308	DTXSID2062088 DTXSID60410121 DTXSID80227516 DTXSID50163977 DTXSID7067950 DTXSID20805478 DTXSID80673993 DTXSID20387244 DTXSID00170712 DTXSID90439820 DTXSID70707796 DTXSID00432428 DTXSID80805479 DTXSID4072659 DTXSID30241969 DTXSID00884307 DTXSID20166798 DTXSID70582848 DTXSID20362051 DTXSID10276653
DTXSID1041055	DTXSID70393532 DTXSID00304515 DTXSID80204342 DTXSID60771067 DTXSID50799598 DTXSID50464597 DTXSID30891549 DTXSID00853831 DTXSID80365088 DTXSID60414902 DTXSID50146008 DTXSID20720036 DTXSID70482975 DTXSID80439793 DTXSID10425785 DTXSID90812139 DTXSID80144077 DTXSID20240663 DTXSID30463200 DTXSID40155048
DTXSID90227527	DTXSID70162129 DTXSID30145892 DTXSID20362051 DTXSID50409201 DTXSID50208458 DTXSID80805479 DTXSID00170712 DTXSID10276653 DTXSID7067950 DTXSID90439820 DTXSID80227516 DTXSID20805478 DTXSID50163977 DTXSID40161205 DTXSID30411448 DTXSID60821091 DTXSID30582844 DTXSID00432428 DTXSID70410192 DTXSID50576447
DTXSID30235868	DTXSID90212256 DTXSID10221360 DTXSID60224003 DTXSID90842330 DTXSID20466265 DTXSID20236900 DTXSID90186089 DTXSID50812216 DTXSID00647797 DTXSID50773358 DTXSID60222246 DTXSID40458501 DTXSID50630412 DTXSID50154946 DTXSID60174079 DTXSID70306389 DTXSID10188404 DTXSID80325965 DTXSID40325966 DTXSID00235577
DTXSID50359818	DTXSID60399568 DTXSID70425807 DTXSID40315281 DTXSID00828327 DTXSID20146035 DTXSID40313323 DTXSID00179124 DTXSID60845090 DTXSID20412661 DTXSID40362816 DTXSID90171612 DTXSID00414002 DTXSID90781654 DTXSID10481503 DTXSID60386291 DTXSID60751248 DTXSID20413936 DTXSID20153789 DTXSID70300140 DTXSID50649408
DTXSID00886482	DTXSID90811607 DTXSID60839676 DTXSID60889858 DTXSID70786228 DTXSID50869664 DTXSID20607373 DTXSID60284445 DTXSID00732738 DTXSID8073689 DTXSID60609614 DTXSID40833692 DTXSID20893512 DTXSID90887509 DTXSID5044233 DTXSID00495876 DTXSID80227031 DTXSID80657556 DTXSID30229949 DTXSID40833470 DTXSID50223348
DTXSID50812216	DTXSID60224003 DTXSID60222246 DTXSID20466265 DTXSID10221360 DTXSID40458501 DTXSID30235868 DTXSID30762826 DTXSID00310696 DTXSID60174079 DTXSID90212256 DTXSID70196742 DTXSID40187561 DTXSID50805229 DTXSID50630412 DTXSID70179611 DTXSID80488140 DTXSID10150484 DTXSID90812215 DTXSID20825292 DTXSID10188404
DTXSID20400083	DTXSID30735358 DTXSID50412912 DTXSID60162471 DTXSID00297372 DTXSID10609028 DTXSID70764364 DTXSID10535631 DTXSID90727153 DTXSID30633567 DTXSID30236517 DTXSID70831444 DTXSID40570939 DTXSID40803835 DTXSID10565195 DTXSID30694673 DTXSID60297373 DTXSID10774285 DTXSID00410382 DTXSID70760942 DTXSID10746240
DTXSID60147889	DTXSID80849030 DTXSID60239773 DTXSID40228367 DTXSID00329869 DTXSID80219552 DTXSID20611511 DTXSID70785877 DTXSID10365293 DTXSID50575798 DTXSID7068504 DTXSID40516478 DTXSID10157019 DTXSID60155287 DTXSID80845835 DTXSID20837618 DTXSID40160511 DTXSID60809470 DTXSID30515273 DTXSID70160963 DTXSID30444195
DTXSID90207102	DTXSID20500118 DTXSID60611378 DTXSID60815354 DTXSID20179409 DTXSID50442279 DTXSID60189704 DTXSID10524540 DTXSID40580614 DTXSID10753732 DTXSID90157532 DTXSID20850549 DTXSID00149701 DTXSID90216294 DTXSID40780576 DTXSID90283305 DTXSID50471963 DTXSID00731069 DTXSID60212263 DTXSID40188770 DTXSID10558345
