"","DIM1","DIM2"
"DTXSID40385888",-5.85221352418344,0.578542840640623
"DTXSID40467936",-5.90137023489366,3.09222043883478
"DTXSID60284763",-5.85618094296504,-2.16081393612579
"DTXSID60158713",-5.90289484870821,2.76172713672974
"DTXSID40848423",-5.88705755327982,0.690011521544577
"DTXSID40726616",-5.86970394088585,-0.512407179352819
"DTXSID90160485",-5.85649445123154,0.445551342641934
"DTXSID80412243",-5.89315625538323,2.92810304560523
"DTXSID90749012",-5.85797478567538,-1.05957953485848
"DTXSID30747815",-5.87974420656829,-1.96127295700203
"DTXSID70785195",-5.92311170905775,-4.59462545644333
"DTXSID10162300",-5.89631971142477,-6.04179250868187
"DTXSID70821365",-5.86057268650928,3.24920043935953
"DTXSID20675552",-5.85749168142011,3.23002937721956
"DTXSID30151317",-5.91510772791326,0.043606903163579
"DTXSID30329150",-5.89573549235026,-4.13145814403943
"DTXSID90156161",-5.86869561603256,0.238098167397805
"DTXSID10151234",-5.90499901728087,0.631723215196306
"DTXSID00552615",-5.84219405512262,-1.74888575932944
"DTXSID10173759",-5.92452147637935,-0.823825565308639
"DTXSID90620892",-5.87390069024664,-1.42385029190249
"DTXSID70410435",-5.91090479318017,-0.897219260636954
"DTXSID50293061",-5.88875100961882,0.783677445633921
"DTXSID20730776",-5.91079093997669,-2.71581811257415
"DTXSID20410349",-5.87085307014868,-0.183564888746562
"DTXSID10630852",-5.89870869668159,-0.575520230370007
"DTXSID10324345",-5.85158972128712,-3.80119181426661
"DTXSID10286873",-5.89492592637363,-6.33122555399884
"DTXSID90751175",-5.87873356897592,-0.646215302928434
"DTXSID30203926",-5.9137500675436,0.133669030768828
"DTXSID80559900",-5.93600823524296,-3.86669482455025
"DTXSID00202209",-5.9361861501109,0.939101355895456
"DTXSID70849004",-5.85133938292518,2.5880429059813
"DTXSID30611269",-5.88169927843683,0.947213450404443
"DTXSID40185224",-5.85064702453841,-2.47523346941928
"DTXSID10890095",-5.89325685394412,3.49457442050649
"DTXSID60237618",-5.86680307497699,-0.154647795176177
"DTXSID70232992",-5.85504784841615,5.5181354827819
"DTXSID30589232",-5.9207638311082,0.23472497905083
"DTXSID60329421",-5.85340930367795,3.40639691047388
"DTXSID70441284",-5.88070828755945,0.191777826894877
"DTXSID50482852",-5.9120513917885,-1.1916362800229
"DTXSID50362009",-5.84807412424965,0.720213887755842
"DTXSID20639816",-5.83892288237853,-1.98247005918799
"DTXSID90675948",-5.89833992816268,3.59322096599674
"DTXSID80190872",-5.93641418271116,-0.718216892595531
"DTXSID00638665",-5.84785768569579,-4.31552545105657
"DTXSID60809238",-5.89792819964571,0.264874904768179
"DTXSID00329420",-5.93600233556056,3.83034539271062
"DTXSID40835257",-5.90163594918068,1.5592476171681
"DTXSID00414007",-5.92772897477624,-1.42852700076736
"DTXSID30209246",-5.90524415560569,1.51193648957515
"DTXSID30329418",-5.89783847449928,4.13328094281047
"DTXSID6064290",-5.88039328465953,-0.138053017231282
"DTXSID90812154",-5.89705044312893,-3.16922751028962
"DTXSID80172254",-5.91922705881205,-2.53533301436775
"DTXSID90324484",-5.93762456672784,-0.652429146798774
"DTXSID50741956",-5.8397717083305,-0.898912760964407
"DTXSID00709086",-5.87215679818945,3.57880259435918
"DTXSID60398314",-5.89663003672683,-0.494631963031653
"DTXSID70810759",-5.93019407180355,-2.10875901260173
"DTXSID20495898",-5.84946613571722,-1.24913148016945
"DTXSID10233968",-5.87268911832384,0.400078743847989
"DTXSID50380768",-5.885304305038,1.20265188849696
"DTXSID00155049",-5.90457162189371,-0.273178427577885
"DTXSID30163152",-5.9195125975323,-1.38084658474097
"DTXSID00231296",-5.91214100511891,-0.14549067155257
"DTXSID30412718",-5.92228993777393,-2.47435663161275
"DTXSID50387691",-5.89508770520854,-2.80567463638315
"DTXSID7020841",-5.86055010789114,0.684121764958006
"DTXSID80213055",-5.87422796896369,-1.47747305871834
"DTXSID70510727",-5.91429200616983,-0.849692431082473
"DTXSID80298468",-5.92312572528409,-2.27965648440503
"DTXSID10497341",-5.8445900478943,-0.241399746395542
"DTXSID60367540",-5.83880838646807,0.626945777177677
"DTXSID40216628",-5.87320681018391,2.08246956765502
"DTXSID30300287",-5.87102041564328,-0.742519258303845
"DTXSID80440208",-5.84754330941387,-1.75477321825229
"DTXSID20409692",-5.87044861038812,0.788583754157042
"DTXSID40367088",-5.8568559840024,-0.354994034809241
"DTXSID90678510",-5.91408863538674,-1.49260688014114
"DTXSID10152089",-5.93563657862391,-2.85663593664132
"DTXSID10292717",-5.91390220750336,-0.044412934007672
"DTXSID70204179",-5.85460933169353,-0.491247924041622
"DTXSID20143408",-5.89184219907772,-6.53334986887033
"DTXSID20199102",-5.8908344534991,-2.18301120057854
"DTXSID40146037",-5.89055654612026,-0.833964353798911
"DTXSID60842302",-5.8422854924202,-1.96531435801354
"DTXSID00410024",-5.847251743449,0.761512175994709
"DTXSID20435471",-5.86203018618522,2.32250880609534
"DTXSID70831424",-5.875507024265,-0.674934128841761
"DTXSID70508568",-5.88205613684165,-1.14408279913036
"DTXSID30715135",-5.91706588529697,0.685423043960606
"DTXSID40723741",-5.91858894072685,2.72258730130091
"DTXSID50361870",-5.88918949278538,0.237434287576369
"DTXSID2071736",-5.89131437933817,0.925654579199045
"DTXSID20324750",-5.86974095088777,1.27178163076338
"DTXSID60226663",-5.87120482231385,0.898032182821282
"DTXSID70622915",-5.8985436110823,-1.31488100994557
"DTXSID40809074",-5.85916083237962,1.85707860895503
"DTXSID30166062",-5.85184736638771,-2.72219373728996
"DTXSID00802980",-5.89850482590901,1.90879235659625
"DTXSID00387060",-5.84931465069673,0.591966283980959
"DTXSID20452845",-5.91982346505708,-2.62906293136087
"DTXSID30387891",-5.87034014577073,-0.429004983070626
"DTXSID70827463",-5.85634171200762,3.20882857896642
"DTXSID40878664",-5.88488166999204,-1.33821220717857
"DTXSID90203588",-5.91031381799361,0.676142390799557
"DTXSID80402220",-5.84607392368616,-0.939438540757451
"DTXSID60160093",-5.88170354089483,2.33400198386352
"DTXSID00801094",-5.85765604307755,0.313340539659862
"DTXSID80587364",-5.89877962865019,-2.40487239263056
"DTXSID80834163",-5.89599065044035,-1.4915127125397
"DTXSID30831445",-5.84554115869754,-6.43780635014613
"DTXSID50485944",-5.89151133111915,-4.31089143325464
"DTXSID90410174",-5.91773718374487,-0.160834431097874
"DTXSID60452804",-5.8950280754267,1.46403001590795
"DTXSID80726615",-5.87015172150966,2.66973349486739
"DTXSID30636533",-5.88205438863754,-2.88683700838462
"DTXSID60637472",-5.84880129835262,-0.125639470339511
"DTXSID30800838",-5.89524341189968,2.32740004598205
"DTXSID30421269",-5.85991043966918,1.64079787123844
"DTXSID50807465",-5.89251233896499,0.0482879203725023
"DTXSID60675798",-5.89579442472223,0.530650643822233
"DTXSID10178623",-5.88334758103161,-1.46519161863772
"DTXSID10713199",-5.8897599674989,2.94139305196726
"DTXSID20230660",-5.90610213845183,-3.3696572142276
"DTXSID30638198",-5.83916069274685,0.2798064117964
"DTXSID90481829",-5.9060317445826,-3.360377304077
"DTXSID20505764",-5.87631659763485,-1.23272709269768
"DTXSID90387736",-5.88781650135437,-0.908417902975561
"DTXSID30319516",-5.92669597630272,-0.408431126221597
"DTXSID70494957",-5.89441289132704,-5.91301943943631
"DTXSID40732075",-5.8914957975608,-1.55883655761217
"DTXSID00211412",-5.87506822324027,-2.28231358247877
"DTXSID60165821",-5.87895234143765,1.29233781209206
"DTXSID10164465",-5.88495533867458,-2.97550755122185
"DTXSID20833731",-5.86855629959122,-2.47152640507701
"DTXSID30749576",-5.93820421387888,-1.33254652788991
"DTXSID40542015",-5.8877782843654,2.24740889949796
