ID	Neighbors
DTXSID90467704	DTXSID4073411 DTXSID60523760 DTXSID70799398 DTXSID70546945 DTXSID80528893 DTXSID30169134 DTXSID50445644 DTXSID50591352 DTXSID70578443 DTXSID80334719 DTXSID00554013 DTXSID30487966 DTXSID00836745 DTXSID90302984 DTXSID60544314 DTXSID70544082 DTXSID70499109 DTXSID10484978 DTXSID30503216 DTXSID20231152
DTXSID90352848	DTXSID70205080 DTXSID90494873 DTXSID20460304 DTXSID90476058 DTXSID70345879 DTXSID20604367 DTXSID80483978 DTXSID40374631 DTXSID40657895 DTXSID90735152 DTXSID40344258 DTXSID80851254 DTXSID00705341 DTXSID90370567 DTXSID80379206 DTXSID90297169 DTXSID50857667 DTXSID10476030 DTXSID30421188 DTXSID90524826
DTXSID00576119	DTXSID60370155 DTXSID80342435 DTXSID50817625 DTXSID60666085 DTXSID00722250 DTXSID20451570 DTXSID00221773 DTXSID00817615 DTXSID00812963 DTXSID80563143 DTXSID90571592 DTXSID00193320 DTXSID30211243 DTXSID20181906 DTXSID90565698 DTXSID80808748 DTXSID10315399 DTXSID90805263 DTXSID40158418 DTXSID40415659
DTXSID5059298	DTXSID30616012 DTXSID30512282 DTXSID6063808 DTXSID20474188 DTXSID90798303 DTXSID50668896 DTXSID00216967 DTXSID00314230 DTXSID50365959 DTXSID10845767 DTXSID70658259 DTXSID80172936 DTXSID10372088 DTXSID60635695 DTXSID90365958 DTXSID00717121 DTXSID50634819 DTXSID80473713 DTXSID00379127 DTXSID50607866
DTXSID60698987	DTXSID20530713 DTXSID30193954 DTXSID30306683 DTXSID30594826 DTXSID10484978 DTXSID00888007 DTXSID30816510 DTXSID00851993 DTXSID70495328 DTXSID10424596 DTXSID8062024 DTXSID80496684 DTXSID60222807 DTXSID50520420 DTXSID90302984 DTXSID00526896 DTXSID00554013 DTXSID80334719 DTXSID70180525 DTXSID50148284
DTXSID40660561	DTXSID80200304 DTXSID60239874 DTXSID10156769 DTXSID70489383 DTXSID10591393 DTXSID00148254 DTXSID10435945 DTXSID50152568 DTXSID30728583 DTXSID90305990 DTXSID80848528 DTXSID50844835 DTXSID40207894 DTXSID10295869 DTXSID80407518 DTXSID70286091 DTXSID50533171 DTXSID50630199 DTXSID50144044 DTXSID0027981
DTXSID60541449	DTXSID00491651 DTXSID80219714 DTXSID80339340 DTXSID10645224 DTXSID70679661 DTXSID90351412 DTXSID10665462 DTXSID10741098 DTXSID90408859 DTXSID40619397 DTXSID20716434 DTXSID80740593 DTXSID80148055 DTXSID40327763 DTXSID10292853 DTXSID50442754 DTXSID60375509 DTXSID70664274 DTXSID80734275 DTXSID20659397
DTXSID30470373	DTXSID00633211 DTXSID30370243 DTXSID30319253 DTXSID50560624 DTXSID50788604 DTXSID10738100 DTXSID40421992 DTXSID30666618 DTXSID50666716 DTXSID80293433 DTXSID30499246 DTXSID60476065 DTXSID70462212 DTXSID30494478 DTXSID90362765 DTXSID40843195 DTXSID40769947 DTXSID90593552 DTXSID00532013 DTXSID60204300
DTXSID30307574	DTXSID20458387 DTXSID10728920 DTXSID90638992 DTXSID50800456 DTXSID40875951 DTXSID30615909 DTXSID1042287 DTXSID00148254 DTXSID90188604 DTXSID00666948 DTXSID80221059 DTXSID10156769 DTXSID50758584 DTXSID0027981 DTXSID30211829 DTXSID50152568 DTXSID60406069 DTXSID10832819 DTXSID10148487 DTXSID40608549
DTXSID60591287	DTXSID30178726 DTXSID40495219 DTXSID20844867 DTXSID80596653 DTXSID60618847 DTXSID70450477 DTXSID50702688 DTXSID60666262 DTXSID60394715 DTXSID80496745 DTXSID40205315 DTXSID90504486 DTXSID40221131 DTXSID60177469 DTXSID50775256 DTXSID00212727 DTXSID70540584 DTXSID60537049 DTXSID80723821 DTXSID80440309
DTXSID50537371	DTXSID40219750 DTXSID10204390 DTXSID80777940 DTXSID20657015 DTXSID30664876 DTXSID10734900 DTXSID80675492 DTXSID60623017 DTXSID30570761 DTXSID7041627 DTXSID40588231 DTXSID50379430 DTXSID70626872 DTXSID20552576 DTXSID10438254 DTXSID10156320 DTXSID40642483 DTXSID3066558 DTXSID10204239 DTXSID00482241
DTXSID50842457	DTXSID10776300 DTXSID10436851 DTXSID20593585 DTXSID70242152 DTXSID00356574 DTXSID90837605 DTXSID80891150 DTXSID20406444 DTXSID20179782 DTXSID10508380 DTXSID20402421 DTXSID50561111 DTXSID60507762 DTXSID60613130 DTXSID30554102 DTXSID80542574 DTXSID20655930 DTXSID60552853 DTXSID40624704 DTXSID30583391
DTXSID6063066	DTXSID40768031 DTXSID50848353 DTXSID10578189 DTXSID20402082 DTXSID80708052 DTXSID00895357 DTXSID00281877 DTXSID10706203 DTXSID90766507 DTXSID7071107 DTXSID20760578 DTXSID0042400 DTXSID60292409 DTXSID10381978 DTXSID90230910 DTXSID20707706 DTXSID70878091 DTXSID50795313 DTXSID00781029 DTXSID20194379
DTXSID10596489	DTXSID80532915 DTXSID40537007 DTXSID80702691 DTXSID00539643 DTXSID50513059 DTXSID90294870 DTXSID9044166 DTXSID40799143 DTXSID10794206 DTXSID80883893 DTXSID20240562 DTXSID7040526 DTXSID70151710 DTXSID70796564 DTXSID3048817 DTXSID40674608 DTXSID00227013 DTXSID40857131 DTXSID20523064 DTXSID50226218
DTXSID80561588	DTXSID4021000 DTXSID00767343 DTXSID40467537 DTXSID30754882 DTXSID00372698 DTXSID60220782 DTXSID80814864 DTXSID60653970 DTXSID80453570 DTXSID90311177 DTXSID40813898 DTXSID60616227 DTXSID0027066 DTXSID8073768 DTXSID50632951 DTXSID90512203 DTXSID50873923 DTXSID20813891 DTXSID00847518 DTXSID20196292
