"","DIM3","DIM4"
"DTXSID30493103",0.185849369249267,1.15576925433233
"DTXSID90186625",-0.958811041593874,-1.13756846937587
"DTXSID00510199",0.274906917464852,0.201028722596623
"DTXSID10365177",-0.25086834469634,-0.806691586049257
"DTXSID60748633",-0.201366143131703,-0.114179801739505
"DTXSID40553742",-0.640389116091647,-0.293501817008218
"DTXSID10477401",-0.0447863607458948,0.273384005515907
"DTXSID30580229",-0.00637576887250427,0.556512807521419
"DTXSID40281073",-0.527398165614836,-0.925902557597103
"DTXSID60385209",-1.0057162484111,-0.422850675271695
"DTXSID40157163",0.120291973948551,0.1825070694089
"DTXSID90782262",-0.450067486556304,0.183989140743389
"DTXSID30791979",2.87180564590542,-1.33231662609065
"DTXSID70558104",-0.24453353778876,-0.442019400019642
"DTXSID50150948",-0.383300068830147,-0.00644727462849944
"DTXSID10281464",-0.431101605704714,0.115555660833507
"DTXSID80718858",0.354133230380201,0.393874204501885
"DTXSID40493331",-0.70716047118261,-0.622471254383597
"DTXSID30609989",-1.0117522786329,-0.58995124175392
"DTXSID10440771",-0.4303051458016,-0.701456183531436
"DTXSID50474191",0.478483902092501,0.244789733260438
"DTXSID20795365",-0.200565745863782,-0.411785793357181
"DTXSID50833264",1.36362651231674,-0.491950079788923
"DTXSID30593915",0.177070893301969,0.00205915240975094
"DTXSID60314978",-1.43225753576992,-1.1340641662536
"DTXSID90377177",0.330586662864568,0.120615177667761
"DTXSID10361573",-1.71710979287743,-1.07181610490841
"DTXSID50350527",-0.130550324465181,0.408615568293486
"DTXSID5046190",-0.79607256842011,-0.0883507656214622
"DTXSID90320380",-0.300538787650991,-0.163409954395095
"DTXSID50207426",-0.258233120544932,0.214758970494335
"DTXSID00185649",-1.21003623738839,-0.441134882056715
"DTXSID70151598",0.290804848128427,-0.655818392057928
"DTXSID10523694",0.167618618017713,0.159914224868884
"DTXSID90807929",2.70043498153935,0.0757440147327345
"DTXSID90289827",-0.489075631801257,-0.494282900356901
"DTXSID9072101",2.59364436530954,-0.979953946907337
"DTXSID50405824",-0.375743427402708,0.752743869347598
"DTXSID50330309",0.956158850693345,1.17694135782094
"DTXSID30812815",-0.492737197996028,-1.15843392144908
"DTXSID80518613",-0.624751422242702,-0.185470513211432
"DTXSID80669750",-1.05319228082315,-0.499043640505374
"DTXSID70149056",-0.608485509880655,0.441342362184326
"DTXSID30580325",2.37704159726268,-1.67850176143889
"DTXSID00192636",-0.636490103494173,0.320944158622966
"DTXSID50407989",2.61213141599092,-1.4683831886425
"DTXSID10650070",-0.458696574160711,-0.870935151405495
"DTXSID50180548",0.794699604957713,0.250113424274128
"DTXSID00375826",-0.469362809235214,-0.0687873313983104
"DTXSID80685399",-0.941265901793695,-0.388365823772511
"DTXSID20830624",0.1353053866492,0.291162654353983
"DTXSID70452532",-0.177133964184695,0.405731608954708
"DTXSID70430618",-0.125357168747259,-0.808533764352606
"DTXSID60833119",1.98978837878747,-0.0792923660355046
"DTXSID30654898",-0.24536460019822,-0.268051740906158
"DTXSID90242598",-0.359661505889896,0.637726749718202
"DTXSID80485058",0.591275946037761,0.824544076131276
"DTXSID60486144",-1.05434884769512,-0.126880080696204
"DTXSID30642053",0.479789857307366,-0.0285880167750368
"DTXSID80629258",-0.659354996943236,-0.225068337098336
"DTXSID40638063",0.809532964173931,0.136344866941324
"DTXSID10555475",0.428545347593609,0.814138077871403
"DTXSID50741754",0.155343713677758,0.518462322616889
"DTXSID00536172",-1.00223473570076,0.0188762035425985
"DTXSID00799528",-1.77540538607169,-0.964052912655864
"DTXSID50433940",0.842026249026875,0.227520579734113
"DTXSID80744697",-0.950963498210265,-1.21961741134692
"DTXSID70524324",-1.35606457053624,-1.08658813384155
"DTXSID90610394",-0.830768138545263,-0.498863587020944
"DTXSID50377012",-0.437999363477512,-0.00121557903942682
"DTXSID90652279",-0.033997465105235,-0.0342104844745089
"DTXSID50213966",0.593527749498631,-0.167059708495448
"DTXSID60796316",0.588093210013201,0.580388816864372
"DTXSID10796664",-0.137099787363536,-0.821524945265475
"DTXSID20559181",2.4611088336567,-2.10884219124096
"DTXSID00519420",0.0933330987352675,0.753609534263402
"DTXSID60349846",0.106856565371816,0.393812874218807
"DTXSID40645636",0.186580561504497,-0.427925107788265
"DTXSID40771161",0.486568891878813,0.113035745828395
"DTXSID40165526",0.0344973450877259,0.194100299682286
"DTXSID50703236",-0.590266570743519,-0.12102016659403
"DTXSID40576330",-0.837551110481516,-1.15989320237164
"DTXSID8072584",-0.199497237051619,-0.63545849793166
"DTXSID20185545",0.260491058135767,0.487516376746319
"DTXSID50773070",0.027243417710874,0.151886628000846
"DTXSID40640404",0.0947152999155278,-1.22647662924856
