ID	Neighbors
DTXSID80467056	DTXSID50207007 DTXSID00639278 DTXSID40326791 DTXSID70728769 DTXSID90772183 DTXSID70434313 DTXSID4048777 DTXSID30467384 DTXSID50735072 DTXSID10646014 DTXSID7067455 DTXSID40206923 DTXSID50213906 DTXSID80873411 DTXSID90387594 DTXSID50529473 DTXSID90239302 DTXSID80709640 DTXSID10766781 DTXSID90209464
DTXSID00321924	DTXSID30624334 DTXSID00359227 DTXSID60386337 DTXSID6023103 DTXSID70354603 DTXSID30368069 DTXSID80285530 DTXSID90582183 DTXSID00774512 DTXSID60244322 DTXSID40722077 DTXSID40851952 DTXSID80574557 DTXSID70702084 DTXSID10283882 DTXSID20355468 DTXSID50585756 DTXSID00355067 DTXSID80449756 DTXSID60568050
DTXSID90384088	DTXSID20518576 DTXSID40144230 DTXSID00492840 DTXSID20601679 DTXSID10673461 DTXSID20146454 DTXSID10687548 DTXSID40353183 DTXSID90163491 DTXSID80687535 DTXSID00343262 DTXSID10541979 DTXSID00397609 DTXSID40686221 DTXSID80662721 DTXSID10876692 DTXSID50611261 DTXSID70684891 DTXSID20354734 DTXSID20363381
DTXSID00610244	DTXSID30421244 DTXSID70375999 DTXSID10836554 DTXSID60605090 DTXSID30436954 DTXSID30154005 DTXSID60644969 DTXSID90555135 DTXSID50606970 DTXSID80644961 DTXSID20391265 DTXSID70544507 DTXSID60543564 DTXSID90748328 DTXSID90595319 DTXSID70734128 DTXSID20544072 DTXSID40843357 DTXSID30169710 DTXSID40310554
DTXSID60144217	DTXSID70719637 DTXSID20353803 DTXSID80209630 DTXSID60354511 DTXSID20550613 DTXSID50586420 DTXSID60744352 DTXSID90606277 DTXSID20340172 DTXSID10799392 DTXSID1046182 DTXSID40647211 DTXSID80188496 DTXSID20300610 DTXSID70624237 DTXSID00706590 DTXSID80577048 DTXSID40635855 DTXSID10626194 DTXSID30696536
DTXSID60530898	DTXSID10818239 DTXSID80302655 DTXSID50177312 DTXSID80196617 DTXSID10304127 DTXSID70841922 DTXSID90315433 DTXSID90147837 DTXSID40182798 DTXSID20435512 DTXSID50803048 DTXSID90778680 DTXSID60366210 DTXSID10361775 DTXSID40686645 DTXSID90323518 DTXSID80235030 DTXSID50535418 DTXSID80207171 DTXSID70408211
DTXSID50344901	DTXSID40621359 DTXSID10592623 DTXSID30577114 DTXSID30318347 DTXSID10364241 DTXSID40406441 DTXSID30405423 DTXSID00686782 DTXSID20661672 DTXSID30291464 DTXSID40833096 DTXSID10623865 DTXSID80377308 DTXSID50773797 DTXSID70353611 DTXSID40778039 DTXSID90408096 DTXSID90656136 DTXSID3063170 DTXSID90618310
DTXSID30474255	DTXSID10786606 DTXSID70674378 DTXSID30744940 DTXSID20494301 DTXSID90202334 DTXSID30723639 DTXSID10557515 DTXSID10496990 DTXSID10605722 DTXSID40581045 DTXSID20659458 DTXSID40685835 DTXSID00744417 DTXSID30367976 DTXSID40364714 DTXSID90858597 DTXSID40203033 DTXSID60174695 DTXSID80684302 DTXSID30569594
DTXSID10700948	DTXSID10481725 DTXSID10865703 DTXSID70280438 DTXSID30314864 DTXSID10399952 DTXSID20578978 DTXSID80429558 DTXSID40477318 DTXSID70842631 DTXSID30431944 DTXSID30347536 DTXSID30678796 DTXSID80178519 DTXSID60502479 DTXSID80516174 DTXSID80695115 DTXSID60608309 DTXSID30211283 DTXSID30151296 DTXSID50366360
DTXSID90379050	DTXSID60824688 DTXSID60567821 DTXSID70626776 DTXSID40836901 DTXSID90594549 DTXSID10727998 DTXSID70377615 DTXSID00655897 DTXSID10211802 DTXSID30285722 DTXSID30222475 DTXSID50351852 DTXSID60593004 DTXSID60143684 DTXSID80857019 DTXSID40724990 DTXSID90588887 DTXSID20353247 DTXSID70721634 DTXSID60373984
DTXSID4074223	DTXSID30423405 DTXSID10823681 DTXSID40356391 DTXSID40323225 DTXSID50698133 DTXSID5074185 DTXSID70807982 DTXSID10192687 DTXSID00459059 DTXSID5074214 DTXSID00827638 DTXSID90212014 DTXSID30283662 DTXSID80478041 DTXSID60196690 DTXSID30728321 DTXSID70313457 DTXSID30241520 DTXSID10387970 DTXSID20759669
DTXSID60639855	DTXSID60374097 DTXSID00429398 DTXSID20561507 DTXSID30356441 DTXSID50238831 DTXSID80512636 DTXSID30534040 DTXSID90526426 DTXSID40684782 DTXSID30550846 DTXSID50670974 DTXSID00576699 DTXSID30683461 DTXSID80379842 DTXSID40346898 DTXSID60203813 DTXSID90700128 DTXSID30379256 DTXSID90681322 DTXSID90613744
DTXSID20682120	DTXSID30521839 DTXSID70374604 DTXSID40555403 DTXSID50574645 DTXSID60445019 DTXSID60409398 DTXSID20838726 DTXSID10469003 DTXSID80431237 DTXSID60320458 DTXSID1023108 DTXSID70685585 DTXSID40160117 DTXSID60489397 DTXSID00274406 DTXSID00686000 DTXSID60737002 DTXSID60562316 DTXSID00491398 DTXSID90744305
DTXSID50626193	DTXSID10393415 DTXSID10589750 DTXSID60848440 DTXSID60392615 DTXSID40830484 DTXSID60685650 DTXSID10821001 DTXSID70825525 DTXSID90631589 DTXSID00858028 DTXSID50312201 DTXSID80442181 DTXSID10760966 DTXSID70805140 DTXSID70398805 DTXSID50620939 DTXSID90298499 DTXSID00658666 DTXSID50678798 DTXSID50182921
DTXSID80785964	DTXSID00152391 DTXSID40874545 DTXSID40713602 DTXSID90284397 DTXSID70837522 DTXSID50610517 DTXSID50387853 DTXSID90754585 DTXSID00763143 DTXSID50759213 DTXSID70803404 DTXSID50217202 DTXSID80161941 DTXSID50314563 DTXSID00495331 DTXSID80479694 DTXSID00325543 DTXSID70388165 DTXSID00690869 DTXSID40585503
DTXSID70309996	DTXSID50698810 DTXSID20205414 DTXSID4045002 DTXSID40739529 DTXSID40353825 DTXSID60182795 DTXSID80206341 DTXSID70534307 DTXSID50874455 DTXSID60405390 DTXSID80693459 DTXSID30651584 DTXSID20151023 DTXSID10143417 DTXSID20476804 DTXSID40741263 DTXSID10636450 DTXSID00323943 DTXSID70408978 DTXSID00465852
DTXSID00290929	DTXSID90550342 DTXSID30150628 DTXSID10640572 DTXSID70844690 DTXSID70828177 DTXSID50404099 DTXSID50837186 DTXSID60789167 DTXSID90652870 DTXSID40782398 DTXSID70399059 DTXSID60373464 DTXSID60191226 DTXSID30197811 DTXSID10535939 DTXSID20325085 DTXSID10680296 DTXSID80340173 DTXSID50744149 DTXSID50825947
DTXSID80824988	DTXSID60291856 DTXSID30744026 DTXSID20832103 DTXSID30841640 DTXSID60283655 DTXSID00674487 DTXSID0042082 DTXSID60796412 DTXSID10334742 DTXSID70239486 DTXSID70561259 DTXSID30161299 DTXSID50383294 DTXSID20681911 DTXSID30875485 DTXSID70638213 DTXSID60841517 DTXSID40674486 DTXSID30338707 DTXSID30737832
DTXSID70809406	DTXSID00681398 DTXSID40239039 DTXSID90354483 DTXSID90832519 DTXSID50363435 DTXSID30712109 DTXSID20243230 DTXSID00553102 DTXSID30681144 DTXSID30635167 DTXSID30414873 DTXSID60838260 DTXSID00830667 DTXSID80787261 DTXSID80842869 DTXSID20558699 DTXSID20551105 DTXSID50697969 DTXSID70493400 DTXSID20490585
DTXSID90435882	DTXSID60633015 DTXSID60451372 DTXSID70416790 DTXSID10384823 DTXSID40351326 DTXSID60352219 DTXSID70703117 DTXSID70565398 DTXSID70422573 DTXSID20308196 DTXSID90687581 DTXSID60690542 DTXSID20789880 DTXSID70686471 DTXSID10489448 DTXSID60292681 DTXSID70686698 DTXSID80389820 DTXSID50304161 DTXSID20690902
DTXSID5022350	DTXSID40371084 DTXSID10569436 DTXSID70743371 DTXSID70553533 DTXSID10817767 DTXSID80286385 DTXSID00449834 DTXSID60407490 DTXSID70723638 DTXSID70507576 DTXSID90379818 DTXSID60784511 DTXSID30845946 DTXSID30314425 DTXSID10415328 DTXSID70671640 DTXSID50296496 DTXSID30294319 DTXSID30232539 DTXSID40503287
DTXSID80418104	DTXSID10709779 DTXSID40855238 DTXSID90586429 DTXSID90548800 DTXSID80364834 DTXSID50395291 DTXSID20642284 DTXSID80685672 DTXSID40823699 DTXSID30345315 DTXSID40191688 DTXSID20789305 DTXSID60437196 DTXSID10518580 DTXSID70630676 DTXSID90508540 DTXSID60417514 DTXSID90342103 DTXSID90558500 DTXSID40361627
DTXSID50525218	DTXSID60221133 DTXSID30499903 DTXSID50598169 DTXSID90815140 DTXSID6067468 DTXSID90291506 DTXSID50408017 DTXSID20485471 DTXSID60624600 DTXSID20539009 DTXSID70288212 DTXSID60372937 DTXSID90352404 DTXSID20706799 DTXSID90754267 DTXSID60429617 DTXSID10730982 DTXSID30345315 DTXSID90841045 DTXSID20821719
DTXSID50306024	DTXSID40874464 DTXSID10853281 DTXSID90816051 DTXSID30616138 DTXSID90374580 DTXSID30218772 DTXSID40706034 DTXSID90293323 DTXSID70537075 DTXSID00431976 DTXSID7022174 DTXSID60877275 DTXSID40287318 DTXSID90735753 DTXSID70780382 DTXSID90204535 DTXSID00785901 DTXSID20469519 DTXSID80281335 DTXSID30809861
DTXSID40535821	DTXSID80310952 DTXSID9020328 DTXSID50520248 DTXSID50684692 DTXSID60653354 DTXSID10683803 DTXSID90821564 DTXSID60353847 DTXSID50722866 DTXSID00150155 DTXSID90685926 DTXSID20876067 DTXSID10586486 DTXSID40835313 DTXSID90321291 DTXSID70683768 DTXSID70290931 DTXSID40503262 DTXSID00478447 DTXSID50163497
DTXSID00528512	DTXSID10392529 DTXSID50357096 DTXSID40774576 DTXSID10306323 DTXSID50855163 DTXSID50368985 DTXSID7040287 DTXSID90516680 DTXSID20490621 DTXSID40526875 DTXSID60185822 DTXSID40743565 DTXSID60555960 DTXSID10579353 DTXSID60575264 DTXSID50595613 DTXSID40453970 DTXSID60652862 DTXSID00370073 DTXSID00728252
DTXSID70710260	DTXSID00707663 DTXSID10707811 DTXSID90757839 DTXSID80814485 DTXSID90221141 DTXSID00168078 DTXSID60491258 DTXSID00524796 DTXSID90762706 DTXSID90625483 DTXSID1021956 DTXSID60711569 DTXSID90645803 DTXSID20757847 DTXSID10645800 DTXSID20815779 DTXSID80806562 DTXSID10451524 DTXSID80764315 DTXSID10738029
DTXSID9051616	DTXSID70455169 DTXSID00798632 DTXSID30277804 DTXSID00465478 DTXSID40352651 DTXSID90412193 DTXSID00185063 DTXSID60454323 DTXSID60440049 DTXSID80293574 DTXSID00484669 DTXSID80446048 DTXSID10737618 DTXSID20407592 DTXSID80524173 DTXSID90728322 DTXSID10692556 DTXSID90145555 DTXSID30153179 DTXSID10342307
DTXSID40443457	DTXSID60538495 DTXSID30682555 DTXSID40356977 DTXSID40356891 DTXSID30166668 DTXSID20393108 DTXSID00481638 DTXSID30703193 DTXSID80666002 DTXSID50705558 DTXSID30780984 DTXSID20650480 DTXSID00383249 DTXSID50821383 DTXSID40684106 DTXSID60197728 DTXSID30403363 DTXSID00581768 DTXSID60673330 DTXSID90754161
DTXSID90838839	DTXSID40275639 DTXSID40214886 DTXSID20523261 DTXSID90461368 DTXSID30402179 DTXSID60466688 DTXSID80224181 DTXSID40776313 DTXSID70831242 DTXSID60801676 DTXSID70842111 DTXSID40702571 DTXSID90328689 DTXSID50293925 DTXSID40385843 DTXSID80556934 DTXSID80529749 DTXSID10307673 DTXSID20829417 DTXSID60219075
DTXSID40478663	DTXSID60157221 DTXSID40824964 DTXSID40502553 DTXSID90173772 DTXSID90887403 DTXSID70577133 DTXSID20201193 DTXSID50670015 DTXSID70315436 DTXSID00421317 DTXSID30875945 DTXSID40896166 DTXSID10163418 DTXSID40201953 DTXSID10220656 DTXSID90578743 DTXSID40750911 DTXSID50326505 DTXSID20606321 DTXSID80606847
