ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID40542116	HCDTUIGAHKJBDX-UHFFFAOYSA-N	COC1=NCN=C(OC)C1	NA	NA	NA	NA	142.07422756	-11.2373648520988	0	0	2	4	2.79710174452605	0	0	0	1.14002424979419	0	0	0	0.957325647858459	-5.83140288292444	-0.340630209077438	3.66778733862229	1.41874343562963	0.147687239602986	1.57090778392794	1.588	124.7609541866	NaN	4.10358819929434	0	2.24882541743911	-1.40876333258684	-0.238252233408897	0.632534669871271	262.98	0
DTXSID60758116	ROZJZBJNOUCCQV-UHFFFAOYSA-N	NCCOB1OCCCO1	NA	NA	NA	NA	145.091023644	-10.4729787717825	0	0	3	5	3.04402806242374	0	0	0	0.541252612180222	0	0	0	0.35435901309043	-6.58228993490911	-0.903605404272611	5.93094818379815	1.8539044600259	0.383818434883887	-2.16848819985389	0.0133262571871792	69.6411646216763	NaN	7.67894762346306	1	2.26308413262614	-2.16749198389048	-0.477130345663043	0.632631173554693	177.402462141818	0
DTXSID60610826	JAKVDAWKIXMPHZ-UHFFFAOYSA-N	Oc1ccc(Br)s1	NA	NA	NA	NA	177.908797816	-10.5731546546508	0	0	2	3	2.70793483994537	0	0	0	1.04029214683937	0	0	0	0.183718647446519	-6.26923462214051	-0.536721445554816	6.34868472169092	2.21367090958383	1.12243911603568	3.09950343196607	3.10716827447791	130.907887225211	7.24944301763073	NaN	0	6.12652850658027	-1.08167999993046	-1.17773255629608	0.579653832941159	227.08212580466	0
DTXSID90498437	UAOKPUQWJBGRBK-UHFFFAOYSA-N	CC1(C)C(C)(C)[Si]1(C)C	NA	NA	NA	NA	142.117777106	-11.9313933383888	0	1	3	5	3.02239120660179	0	0	0	1.14595941521314	0	0	0	0.233913282266134	0.0273914904848994	0.956439067342515	3.08994282069586	3.56882505360822	2.45381521252398	4.00922762276518	4.00922762276518	-83.239507854661	NaN	NaN	0	10.2420109412615	1.12988480845798	-4.51262345088356	1.91973961592574	139.11172396522	0
DTXSID60600702	LOKDVMWTEJZRAV-UHFFFAOYSA-N	Cc1nc(N)sc1N	NA	NA	NA	NA	129.036068224	-10.0143431288713	0	0	2	4	2.7588427064514	0	0	0	1.04584050225758	0	0	0	0.95662143564761	-7.35344834265853	-0.879153927131881	7.84598060912134	1.80645094424134	0.647000946948989	-0.213217123561786	-0.125133312437464	208.395383262185	NaN	4.8518978195861	0	-0.517782507994713	-3.56567688105832	-1.60779461353962	0.861917124431466	295.912887072534	0
DTXSID00618220	WXJWETDFIWKUHH-UHFFFAOYSA-N	NS(=O)(=O)c1ncn[nH]1	NA	NA	NA	NA	148.005496368	-12.0330319302134	0	0	3	5	3.09968104787195	0	0	0	1.30764379408411	0	0	0	0.87843130547037	-7.2617476890427	-1.00214167192449	7.16826541647419	1.16424572550412	0.228555064626718	-0.747504751414274	-0.747366069259008	199.583773196239	8.99569438594951	NaN	1	-5.15958494338675	-6.93636696606697	-1.29920975476987	0.647115792127658	256.907941888921	0
DTXSID30610934	RRHTVPZYUQSUFT-UHFFFAOYSA-N	CCCSSCCN	NA	NA	NA	NA	151.048941416	-10.949138957865	0	0	3	4	2.76982876102467	0	0	0	0.594944840339751	0	0	0	0.550723185649541	-5.2563133374327	-0.76025124059191	7.44454097056171	2.05733253520238	0.836071018210641	-1.86526494110549	2.44400640278777	83.142624120357	NaN	9.80925003682874	0	6.69050169593439	-1.49199726102453	-1.42442217865498	1.54454996844202	192.793759913254	0
DTXSID90187975	KDGSVMQRTUAIDO-UHFFFAOYSA-N	CCNCCC(=O)OC	NA	NA	3.25307630991024	NA	131.094628656	-10.8888003659862	0	1	3	5	3.31046872452413	0	0	0	-0.828822294794943	0	0	0	0.933837913194404	-6.08966657706451	-1.08271216753172	4.90202854003425	1.36548456360173	0.316665961878202	-4.36156155564393	-0.050445341985231	18.5680769907361	NaN	9.81109499691618	1	3.50382888884999	0.226803986146918	0.0129106487038184	0.665267193187145	170.226400581709	0
DTXSID80570690	QSVIFMIHOCWOPL-UHFFFAOYSA-N	CCOCC(OCC)(OCC)OCC	NA	NA	NA	NA	206.151809184	-10.4041314478037	0	1	4	5	3.43431670648034	0	0	0	-2.57548507463066	0	0	0	0.454248835127133	-5.16933252100639	0.951389975565837	5.80670271736124	2.34668542130691	0.569846103243547	2.08308574228659	2.08308574228659	-26.2509289243867	NaN	NaN	0	12.6301727411176	-1.23221476516776	-1.27041375079079	0.616840056963253	207.325373996642	0
DTXSID4021393	ZIBGPFATKBEMQZ-UHFFFAOYSA-N	OCCOCCOCCO	5	4	3.92675309813796	17000.0	150.089208928	-10.5397360535695	0	1	4	5	3.87049587231233	0	0	0	-1.17164329500738	0	0	0	0.935070991419725	-9.1853206816324	-1.06038703586615	7.57523159591498	1.53857790244003	0.421006466532005	-1.52979978874555	-1.52871049674713	1.33541853126033	8.10009523800505	NaN	1	-1.0239641522042	-2.99837706226282	0.809716830662925	0.879429195647769	280.278306039336	0
