"","DIM1","DIM2"
"DTXSID10205600",-1.71234407646862,-4.12261945251249
"DTXSID90844152",-1.66010783030881,-2.21273306192808
"DTXSID40754297",-1.7120193956259,1.94020076048934
"DTXSID40598931",-1.73554731301945,1.5885031655901
"DTXSID90467042",-1.67677351477924,-2.28923558566797
"DTXSID50682850",-1.72798296907029,2.64111241856046
"DTXSID00708539",-1.70342877506117,-3.38150628576862
"DTXSID80283758",-1.64083099425608,-3.6346524137464
"DTXSID10684855",-1.71245887738182,0.00125270288833974
"DTXSID10474935",-1.70375777495828,1.3146258030485
"DTXSID70302543",-1.68646480781152,2.38585353805428
"DTXSID50343570",-1.6468597417654,2.38112092732054
"DTXSID20832325",-1.67328865454918,-1.12278167786118
"DTXSID70729711",-1.67430362812633,1.07499058339131
"DTXSID10621745",-1.67534112012271,6.00604416440175
"DTXSID90224379",-1.71535636616388,-4.22639431055726
"DTXSID70656038",-1.72057612771069,3.71470875339326
"DTXSID90572382",-1.69971086336324,3.42355325195185
"DTXSID40643990",-1.6844745517031,0.969113228010548
"DTXSID20808383",-1.70880405864256,-1.24002588684879
"DTXSID20680681",-1.65425985991184,-0.939019557610933
"DTXSID30565450",-1.7166749219536,-5.60048055872673
"DTXSID40514055",-1.6857584588198,3.05328745709634
"DTXSID10657084",-1.67348211700843,2.87870661392256
"DTXSID20313326",-1.63950656908548,-2.37648120603176
"DTXSID20152676",-1.67919174427318,1.13180077990214
"DTXSID00841657",-1.69143734460639,2.81164150931657
"DTXSID20690947",-1.6942205092714,5.18601016969676
"DTXSID40309105",-1.66700958101325,-1.37216118639502
"DTXSID70643226",-1.72081653285715,-3.15922828120486
"DTXSID00295939",-1.67368203834941,-2.65823284210455
"DTXSID90465467",-1.70832288862328,3.34382812139659
"DTXSID00777523",-1.65246347145741,-0.0878886601394972
"DTXSID30486272",-1.71198022265131,-1.65149377485417
"DTXSID60739501",-1.73002090458159,5.28109782272181
"DTXSID10606153",-1.72047283934578,-1.07240193215765
"DTXSID30155097",-1.66086751373933,2.92887106186722
"DTXSID30446558",-1.72667858500393,-3.86297316698574
"DTXSID20440464",-1.69493164780941,-3.38918551964212
"DTXSID70764884",-1.65432057437706,-1.04327377326699
"DTXSID00457732",-1.67772847058354,-4.55572222821848
"DTXSID70449760",-1.693857422838,-5.97793342388439
"DTXSID00238801",-1.68759979855042,1.01233892042383
"DTXSID90737151",-1.64929386571899,-2.1018527162432
"DTXSID50489003",-1.73646517651265,0.829237044794505
"DTXSID10627141",-1.66415608846781,1.27308627240748
