ID	Neighbors
DTXSID20644223	DTXSID20853611 DTXSID80398053 DTXSID90425445 DTXSID60658945 DTXSID50465549 DTXSID60162178 DTXSID50519591 DTXSID80806906 DTXSID40838809 DTXSID10154088 DTXSID40151803 DTXSID80324190 DTXSID60822200 DTXSID60877533 DTXSID10475902 DTXSID40787883 DTXSID20228901 DTXSID00601874 DTXSID40486965 DTXSID20229276
DTXSID40539304	DTXSID10760148 DTXSID40611578 DTXSID70163075 DTXSID60175622 DTXSID80643454 DTXSID80737761 DTXSID00846546 DTXSID30563991 DTXSID70564826 DTXSID50548285 DTXSID80825814 DTXSID30160020 DTXSID10756723 DTXSID90315635 DTXSID70885503 DTXSID70839420 DTXSID20464847 DTXSID20579960 DTXSID30143550 DTXSID50200376
DTXSID70832693	DTXSID20847257 DTXSID50836619 DTXSID90227805 DTXSID30465269 DTXSID40186155 DTXSID70305514 DTXSID50348227 DTXSID40547247 DTXSID00444541 DTXSID10738524 DTXSID90239766 DTXSID60287335 DTXSID60770010 DTXSID70364707 DTXSID00484088 DTXSID60843096 DTXSID50630230 DTXSID40601055 DTXSID10217809 DTXSID60806363
DTXSID20395182	DTXSID00839918 DTXSID30415406 DTXSID60877619 DTXSID80588896 DTXSID90217140 DTXSID60707720 DTXSID30156549 DTXSID00685290 DTXSID60644803 DTXSID10843884 DTXSID90740241 DTXSID70361670 DTXSID50424838 DTXSID90719174 DTXSID10842438 DTXSID30830973 DTXSID00580630 DTXSID10432015 DTXSID70798962 DTXSID80718934
DTXSID80323204	DTXSID80434546 DTXSID40687596 DTXSID60596611 DTXSID80347804 DTXSID50552600 DTXSID20561587 DTXSID70593919 DTXSID20550254 DTXSID40470208 DTXSID00626643 DTXSID10789394 DTXSID70687004 DTXSID00202885 DTXSID10408912 DTXSID20573029 DTXSID30769810 DTXSID90695242 DTXSID00286367 DTXSID10547355 DTXSID10447422
DTXSID20223719	DTXSID20786258 DTXSID50354126 DTXSID50292897 DTXSID00434265 DTXSID90771494 DTXSID60768851 DTXSID20603613 DTXSID40537961 DTXSID10486432 DTXSID10700044 DTXSID20243275 DTXSID90396525 DTXSID30367471 DTXSID80157667 DTXSID80514594 DTXSID20784916 DTXSID30575251 DTXSID10793653 DTXSID40224400 DTXSID70168464
DTXSID00438026	DTXSID30730944 DTXSID50691487 DTXSID50685361 DTXSID60708893 DTXSID20683399 DTXSID40683396 DTXSID10691549 DTXSID80699092 DTXSID30702762 DTXSID10355417 DTXSID80781608 DTXSID70520023 DTXSID10341113 DTXSID00702815 DTXSID80701967 DTXSID90431667 DTXSID20814368 DTXSID30691546 DTXSID70685348 DTXSID40507088
DTXSID40240726	DTXSID10436816 DTXSID00701868 DTXSID50436577 DTXSID60197965 DTXSID60196190 DTXSID10677106 DTXSID50220150 DTXSID10569698 DTXSID10206733 DTXSID1068778 DTXSID10304122 DTXSID70505815 DTXSID40784953 DTXSID40844768 DTXSID30880559 DTXSID60762596 DTXSID30430098 DTXSID50149155 DTXSID20794156 DTXSID80607990
DTXSID20648882	DTXSID50197232 DTXSID30387750 DTXSID50351751 DTXSID80351087 DTXSID50510306 DTXSID70721775 DTXSID70387592 DTXSID60532413 DTXSID60489554 DTXSID20289052 DTXSID90511610 DTXSID50306842 DTXSID10825241 DTXSID70810153 DTXSID40852747 DTXSID30716349 DTXSID20585586 DTXSID50625520 DTXSID90844551 DTXSID20386050
DTXSID70855509	DTXSID80315760 DTXSID10795733 DTXSID00774113 DTXSID7060049 DTXSID70730140 DTXSID30201967 DTXSID20467095 DTXSID70552147 DTXSID50680492 DTXSID80477079 DTXSID60575643 DTXSID30532642 DTXSID50440417 DTXSID60756834 DTXSID40530836 DTXSID20311105 DTXSID00644266 DTXSID20186996 DTXSID10561192 DTXSID10847847
DTXSID90768849	DTXSID10572682 DTXSID30524183 DTXSID70674095 DTXSID70842858 DTXSID70536245 DTXSID30528969 DTXSID90708927 DTXSID00209672 DTXSID70645982 DTXSID60786434 DTXSID50807768 DTXSID30645983 DTXSID10164622 DTXSID70800695 DTXSID80581882 DTXSID30758345 DTXSID00303664 DTXSID60317560 DTXSID90767498 DTXSID30571819
DTXSID70597770	DTXSID80578595 DTXSID10855927 DTXSID7073646 DTXSID70328849 DTXSID40563664 DTXSID4022862 DTXSID70804936 DTXSID80409916 DTXSID70159711 DTXSID4023046 DTXSID20529440 DTXSID80512656 DTXSID80312072 DTXSID50738028 DTXSID90682258 DTXSID20314156 DTXSID80753921 DTXSID90145434 DTXSID10750403 DTXSID20331262
DTXSID10539139	DTXSID70878192 DTXSID90375476 DTXSID10556568 DTXSID90614493 DTXSID60168610 DTXSID00878403 DTXSID10533298 DTXSID50761331 DTXSID60419497 DTXSID60784632 DTXSID80533700 DTXSID80874706 DTXSID00650640 DTXSID30841084 DTXSID30375475 DTXSID50348045 DTXSID80214966 DTXSID40314911 DTXSID90804938 DTXSID50584264
DTXSID50240499	DTXSID00516570 DTXSID90851265 DTXSID10193255 DTXSID50847866 DTXSID50195430 DTXSID20158996 DTXSID40389482 DTXSID60384797 DTXSID10803024 DTXSID50726647 DTXSID80403732 DTXSID80384294 DTXSID10157392 DTXSID40225553 DTXSID70691328 DTXSID40577948 DTXSID70849382 DTXSID80877994 DTXSID80851491 DTXSID0072069
DTXSID00275756	DTXSID60697571 DTXSID00407939 DTXSID50762565 DTXSID70281425 DTXSID8069723 DTXSID80370596 DTXSID50731650 DTXSID50385596 DTXSID70169491 DTXSID20652106 DTXSID00479959 DTXSID30408979 DTXSID40758336 DTXSID50885925 DTXSID70725713 DTXSID10786388 DTXSID60825418 DTXSID4045478 DTXSID20747884 DTXSID70422472
DTXSID20203970	DTXSID50603787 DTXSID00486224 DTXSID60318870 DTXSID50766649 DTXSID30730626 DTXSID70888317 DTXSID10224851 DTXSID00292908 DTXSID10527399 DTXSID40648561 DTXSID80164639 DTXSID90150447 DTXSID40433474 DTXSID30594886 DTXSID40778296 DTXSID20789249 DTXSID60507681 DTXSID30798862 DTXSID10239748 DTXSID70600930
DTXSID30318569	DTXSID30682939 DTXSID70686476 DTXSID90315519 DTXSID10181612 DTXSID10372326 DTXSID40157264 DTXSID50693082 DTXSID40205052 DTXSID30235585 DTXSID2060173 DTXSID60740612 DTXSID40661316 DTXSID90361051 DTXSID80758991 DTXSID00444167 DTXSID80716435 DTXSID90180582 DTXSID50236377 DTXSID00317781 DTXSID00731988
DTXSID10807385	DTXSID20241413 DTXSID20211055 DTXSID10230295 DTXSID20806783 DTXSID50705674 DTXSID50553192 DTXSID00324192 DTXSID70413784 DTXSID40654187 DTXSID00755104 DTXSID00558016 DTXSID60226365 DTXSID30171075 DTXSID9062061 DTXSID60442285 DTXSID30333217 DTXSID60346895 DTXSID20186996 DTXSID80517520 DTXSID30791050
DTXSID30472155	DTXSID00749982 DTXSID30488453 DTXSID30607001 DTXSID00539284 DTXSID80728018 DTXSID80154833 DTXSID40193869 DTXSID90771797 DTXSID80650724 DTXSID20688687 DTXSID00308053 DTXSID00589128 DTXSID60604826 DTXSID90569757 DTXSID80509889 DTXSID80649279 DTXSID60687816 DTXSID90757975 DTXSID10241068 DTXSID30686997
DTXSID30885640	DTXSID20545342 DTXSID40564171 DTXSID80545525 DTXSID50573673 DTXSID60205130 DTXSID70157358 DTXSID00406462 DTXSID00435338 DTXSID40459856 DTXSID30522321 DTXSID30771418 DTXSID90384760 DTXSID80640504 DTXSID00383128 DTXSID60531345 DTXSID90146082 DTXSID90611088 DTXSID9059757 DTXSID60522713 DTXSID20482728
DTXSID40857111	DTXSID50641341 DTXSID00729027 DTXSID80285898 DTXSID20201678 DTXSID10786727 DTXSID80739760 DTXSID90661427 DTXSID00837974 DTXSID50358083 DTXSID70661389 DTXSID60620783 DTXSID80742198 DTXSID60526079 DTXSID40394495 DTXSID20524298 DTXSID70644859 DTXSID50810151 DTXSID20836146 DTXSID70613843 DTXSID20616465
DTXSID20756496	DTXSID50352324 DTXSID80821598 DTXSID00540052 DTXSID50509290 DTXSID90619165 DTXSID00294280 DTXSID50442537 DTXSID90622290 DTXSID60834106 DTXSID00812882 DTXSID90333435 DTXSID70506529 DTXSID60381327 DTXSID00298026 DTXSID10318865 DTXSID00445492 DTXSID00547046 DTXSID40656666 DTXSID10395272 DTXSID90744724
DTXSID80432047	DTXSID10627424 DTXSID30710968 DTXSID50204814 DTXSID70193453 DTXSID10762182 DTXSID50413904 DTXSID60713341 DTXSID80464924 DTXSID90451481 DTXSID20163661 DTXSID30809588 DTXSID60328499 DTXSID00849158 DTXSID50197853 DTXSID00144953 DTXSID40394172 DTXSID60774836 DTXSID00535741 DTXSID90485120 DTXSID10637260
DTXSID20352199	DTXSID10837581 DTXSID40554178 DTXSID70357730 DTXSID60476202 DTXSID50566282 DTXSID80231310 DTXSID10604311 DTXSID30843907 DTXSID10353155 DTXSID40716678 DTXSID00741183 DTXSID90484638 DTXSID20453897 DTXSID30185839 DTXSID90775770 DTXSID60147122 DTXSID70740229 DTXSID10724962 DTXSID90589157 DTXSID10362888
DTXSID70740709	DTXSID40291036 DTXSID00219635 DTXSID70170729 DTXSID70695280 DTXSID80309841 DTXSID00773823 DTXSID00148274 DTXSID70466674 DTXSID60793860 DTXSID10217107 DTXSID90417643 DTXSID80164235 DTXSID10348425 DTXSID90719174 DTXSID40548971 DTXSID90229541 DTXSID50207860 DTXSID80162155 DTXSID90703891 DTXSID50857102
DTXSID00634142	DTXSID70628513 DTXSID20593944 DTXSID60621977 DTXSID20295658 DTXSID60857633 DTXSID80708557 DTXSID70489429 DTXSID50785638 DTXSID50296638 DTXSID90356543 DTXSID30319915 DTXSID10588405 DTXSID30694956 DTXSID30737635 DTXSID40592575 DTXSID10144363 DTXSID10314448 DTXSID50852430 DTXSID60694843 DTXSID80576910
