ID	Neighbors
DTXSID20611051	DTXSID20812364 DTXSID50537396 DTXSID40451537 DTXSID70557551 DTXSID40812220 DTXSID00601218 DTXSID10445443 DTXSID40527948 DTXSID40693632 DTXSID80579860 DTXSID40466909 DTXSID7067451 DTXSID20282740 DTXSID00791729 DTXSID8020171 DTXSID20625416 DTXSID60637098 DTXSID00477950 DTXSID10335198 DTXSID0074342
DTXSID30476416	DTXSID10300043 DTXSID40592858 DTXSID70628851 DTXSID10664935 DTXSID00794573 DTXSID80198151 DTXSID00608383 DTXSID90516120 DTXSID50287288 DTXSID00292443 DTXSID10372205 DTXSID50161099 DTXSID40583125 DTXSID90371993 DTXSID90665849 DTXSID30677709 DTXSID50523350 DTXSID20792753 DTXSID30184024 DTXSID00469219
DTXSID1059523	DTXSID60709845 DTXSID40562834 DTXSID10708146 DTXSID70379856 DTXSID10887965 DTXSID20158532 DTXSID20843779 DTXSID60500394 DTXSID80665797 DTXSID40548294 DTXSID20497892 DTXSID00546776 DTXSID20717603 DTXSID30512000 DTXSID90766183 DTXSID80337604 DTXSID00631934 DTXSID00803351 DTXSID40356992 DTXSID50455329
DTXSID30673680	DTXSID10421828 DTXSID30356042 DTXSID60764555 DTXSID00394673 DTXSID60436200 DTXSID70598601 DTXSID20709225 DTXSID80788051 DTXSID70783671 DTXSID00562355 DTXSID00829495 DTXSID90494691 DTXSID40640424 DTXSID20476521 DTXSID90664019 DTXSID00461319 DTXSID30593152 DTXSID60220106 DTXSID60767122 DTXSID40303628
DTXSID70430537	DTXSID5057705 DTXSID00531026 DTXSID90280617 DTXSID60296048 DTXSID00573587 DTXSID60355765 DTXSID30326361 DTXSID20196111 DTXSID70827660 DTXSID30802175 DTXSID80817214 DTXSID00811850 DTXSID40282121 DTXSID10698351 DTXSID60311669 DTXSID50340882 DTXSID20398017 DTXSID20760472 DTXSID20504050 DTXSID40469339
DTXSID80628620	DTXSID60816346 DTXSID40720513 DTXSID10540240 DTXSID90742043 DTXSID10451160 DTXSID20309744 DTXSID30577194 DTXSID40811435 DTXSID90507457 DTXSID20806905 DTXSID60806222 DTXSID40566978 DTXSID10596388 DTXSID80603710 DTXSID00711326 DTXSID60438007 DTXSID20189821 DTXSID10368704 DTXSID90721717 DTXSID50380889
DTXSID70570306	DTXSID10341734 DTXSID40174451 DTXSID20568950 DTXSID20767901 DTXSID30371255 DTXSID20473959 DTXSID70282275 DTXSID40482189 DTXSID1061285 DTXSID70612513 DTXSID70480754 DTXSID80499337 DTXSID40179921 DTXSID60732012 DTXSID50566404 DTXSID40340694 DTXSID80505563 DTXSID60529404 DTXSID30569978 DTXSID70428656
DTXSID60701647	DTXSID20518172 DTXSID00659956 DTXSID30334401 DTXSID20554676 DTXSID60541848 DTXSID00596498 DTXSID60152473 DTXSID60413733 DTXSID70663681 DTXSID90708447 DTXSID80277793 DTXSID70504828 DTXSID60274806 DTXSID80404087 DTXSID20600662 DTXSID90491201 DTXSID20363109 DTXSID40545364 DTXSID60441334 DTXSID50754723
DTXSID60667092	DTXSID60285811 DTXSID90648354 DTXSID70455725 DTXSID10776027 DTXSID70788101 DTXSID20843178 DTXSID40658004 DTXSID70567650 DTXSID90778761 DTXSID70482152 DTXSID80517424 DTXSID50794407 DTXSID10530166 DTXSID40339841 DTXSID70631441 DTXSID60855376 DTXSID00658641 DTXSID10849245 DTXSID00278489 DTXSID20552470
DTXSID50865020	DTXSID10693467 DTXSID10764808 DTXSID90707213 DTXSID30439506 DTXSID20855332 DTXSID20736096 DTXSID80532435 DTXSID50333931 DTXSID40323528 DTXSID80549846 DTXSID00238982 DTXSID0059669 DTXSID60499890 DTXSID60810844 DTXSID50655049 DTXSID10735917 DTXSID50764423 DTXSID30809109 DTXSID80884380 DTXSID20467171
DTXSID00508879	DTXSID00648027 DTXSID50285567 DTXSID00693118 DTXSID00450708 DTXSID30731557 DTXSID40612161 DTXSID90802510 DTXSID10850038 DTXSID00294548 DTXSID70542548 DTXSID60458664 DTXSID00608409 DTXSID20450063 DTXSID50717494 DTXSID70560166 DTXSID20310219 DTXSID40764316 DTXSID50470794 DTXSID70308126 DTXSID30439021
DTXSID10186768	DTXSID50371696 DTXSID30545313 DTXSID30620952 DTXSID1024966 DTXSID20289299 DTXSID80590297 DTXSID40503580 DTXSID50759359 DTXSID30612135 DTXSID90666558 DTXSID60408326 DTXSID30879024 DTXSID10512947 DTXSID80543389 DTXSID10291780 DTXSID70660059 DTXSID60647576 DTXSID90378508 DTXSID90610899 DTXSID00601157
DTXSID80602127	DTXSID70378167 DTXSID20827918 DTXSID30887124 DTXSID30520887 DTXSID80889052 DTXSID70433669 DTXSID70291206 DTXSID10829481 DTXSID10665881 DTXSID70280014 DTXSID20672420 DTXSID40393009 DTXSID60556412 DTXSID80864041 DTXSID20312031 DTXSID80277935 DTXSID90311697 DTXSID20349024 DTXSID10820837 DTXSID70340743
DTXSID50418212	DTXSID50533358 DTXSID70474830 DTXSID1051309 DTXSID20211696 DTXSID90392704 DTXSID20152338 DTXSID6066818 DTXSID30397935 DTXSID10618135 DTXSID40708659 DTXSID00165845 DTXSID40351023 DTXSID00759864 DTXSID00614621 DTXSID00606405 DTXSID70674015 DTXSID10368926 DTXSID40675110 DTXSID80185243 DTXSID6051693
DTXSID90336860	DTXSID70281182 DTXSID10762223 DTXSID90183977 DTXSID10607589 DTXSID10308569 DTXSID90323619 DTXSID80280621 DTXSID10459383 DTXSID30382745 DTXSID10669288 DTXSID30384269 DTXSID90850798 DTXSID40382054 DTXSID50585357 DTXSID70775278 DTXSID30491285 DTXSID40438464 DTXSID50532124 DTXSID00181484 DTXSID30663107
DTXSID50844113	DTXSID70553270 DTXSID10733453 DTXSID60632008 DTXSID50497724 DTXSID40277794 DTXSID70805600 DTXSID70228370 DTXSID60502010 DTXSID00568817 DTXSID00491333 DTXSID20665837 DTXSID00298208 DTXSID60577283 DTXSID90291864 DTXSID50806857 DTXSID60342397 DTXSID90788269 DTXSID90574422 DTXSID50289328 DTXSID60338417
DTXSID60711741	DTXSID10875721 DTXSID70776780 DTXSID70602676 DTXSID10476136 DTXSID00467699 DTXSID60378878 DTXSID50546746 DTXSID70209700 DTXSID20724074 DTXSID20698948 DTXSID80390138 DTXSID60443313 DTXSID10563737 DTXSID80632181 DTXSID30285929 DTXSID40151222 DTXSID80556813 DTXSID50279769 DTXSID80596431 DTXSID10553779
DTXSID30478617	DTXSID10706021 DTXSID70485209 DTXSID70759073 DTXSID90476972 DTXSID90551374 DTXSID10339757 DTXSID20613035 DTXSID10710522 DTXSID60734713 DTXSID30283743 DTXSID70719819 DTXSID30466039 DTXSID90465407 DTXSID10841986 DTXSID70710841 DTXSID00738159 DTXSID80509622 DTXSID70385210 DTXSID50719978 DTXSID40849177
DTXSID60522218	DTXSID30500189 DTXSID50832297 DTXSID20625537 DTXSID10592385 DTXSID90216597 DTXSID20778057 DTXSID40676900 DTXSID10163175 DTXSID00180997 DTXSID2022092 DTXSID60852784 DTXSID00787329 DTXSID50571139 DTXSID70162967 DTXSID30549316 DTXSID40453339 DTXSID40693399 DTXSID00195647 DTXSID00710571 DTXSID90738007
DTXSID60476949	DTXSID50694534 DTXSID80612307 DTXSID40500599 DTXSID1063514 DTXSID70526727 DTXSID90378149 DTXSID50615067 DTXSID50544560 DTXSID60891012 DTXSID00768092 DTXSID80542150 DTXSID00668760 DTXSID80434809 DTXSID20570816 DTXSID70772868 DTXSID00852268 DTXSID80614220 DTXSID70628396 DTXSID70515217 DTXSID70601442
DTXSID10545578	DTXSID1026904 DTXSID00834261 DTXSID10456832 DTXSID30351355 DTXSID00473013 DTXSID00708019 DTXSID40195383 DTXSID90423860 DTXSID10186748 DTXSID70592982 DTXSID30533977 DTXSID90182460 DTXSID30464651 DTXSID50767217 DTXSID30559657 DTXSID70655147 DTXSID60323924 DTXSID00336139 DTXSID20562276 DTXSID50871101
DTXSID30568067	DTXSID10549551 DTXSID50502367 DTXSID50574468 DTXSID30802039 DTXSID40549584 DTXSID10450810 DTXSID30623802 DTXSID10613504 DTXSID60526670 DTXSID60555708 DTXSID00760177 DTXSID40499717 DTXSID10459722 DTXSID40835919 DTXSID8021808 DTXSID10448570 DTXSID50171310 DTXSID10722786 DTXSID30336945 DTXSID90317154
DTXSID20328137	DTXSID00760016 DTXSID2069070 DTXSID40278089 DTXSID70469468 DTXSID70875742 DTXSID60483299 DTXSID60717349 DTXSID90334826 DTXSID40448346 DTXSID60737385 DTXSID20275036 DTXSID60693295 DTXSID00296067 DTXSID60778738 DTXSID60667895 DTXSID00609411 DTXSID90507876 DTXSID20664784 DTXSID30518385 DTXSID90385131
DTXSID40520631	DTXSID90336749 DTXSID10546969 DTXSID40870683 DTXSID90392446 DTXSID70627546 DTXSID80564539 DTXSID90561079 DTXSID70810517 DTXSID40649356 DTXSID20847474 DTXSID10438794 DTXSID70784663 DTXSID60309940 DTXSID30337033 DTXSID60195865 DTXSID60332172 DTXSID20769203 DTXSID2061804 DTXSID80312678 DTXSID30849444
DTXSID40339841	DTXSID80517424 DTXSID70482152 DTXSID50655781 DTXSID60322831 DTXSID50794407 DTXSID70455725 DTXSID20843178 DTXSID80276044 DTXSID60667092 DTXSID60285811 DTXSID1042285 DTXSID10470578 DTXSID10776027 DTXSID80611370 DTXSID20401439 DTXSID90536909 DTXSID30288551 DTXSID10530166 DTXSID10505490 DTXSID80516073
DTXSID90526688	DTXSID40575601 DTXSID60167067 DTXSID50503950 DTXSID10454358 DTXSID90212655 DTXSID10789637 DTXSID40711401 DTXSID80348538 DTXSID80451056 DTXSID30287387 DTXSID90758023 DTXSID80513264 DTXSID70785478 DTXSID3066269 DTXSID50455389 DTXSID80446482 DTXSID30219022 DTXSID10516980 DTXSID30402790 DTXSID6059314
DTXSID00429833	DTXSID00164191 DTXSID80233970 DTXSID70434499 DTXSID40799007 DTXSID30507810 DTXSID30392703 DTXSID00549520 DTXSID20647870 DTXSID40665253 DTXSID20459697 DTXSID70627546 DTXSID70499927 DTXSID60820786 DTXSID8068462 DTXSID0051572 DTXSID20787947 DTXSID60195865 DTXSID70862319 DTXSID10716382 DTXSID30571253
DTXSID20667098	DTXSID50553551 DTXSID50513216 DTXSID60570552 DTXSID90802575 DTXSID90216476 DTXSID30698994 DTXSID80563603 DTXSID80707681 DTXSID20291433 DTXSID20544951 DTXSID20864404 DTXSID40833834 DTXSID10239420 DTXSID20815279 DTXSID80553549 DTXSID40274046 DTXSID40617797 DTXSID80560713 DTXSID90818590 DTXSID20280882
DTXSID60283175	DTXSID8020171 DTXSID00279830 DTXSID60283837 DTXSID90453521 DTXSID70574728 DTXSID90518043 DTXSID90526729 DTXSID30788521 DTXSID50446797 DTXSID00601218 DTXSID10553734 DTXSID50537396 DTXSID20625416 DTXSID90780167 DTXSID10895409 DTXSID30620452 DTXSID90888819 DTXSID70299500 DTXSID50613765 DTXSID40693632
DTXSID70776780	DTXSID10476136 DTXSID60711741 DTXSID50546746 DTXSID60443313 DTXSID50566404 DTXSID70602676 DTXSID80632181 DTXSID20447094 DTXSID70209700 DTXSID60378878 DTXSID20698948 DTXSID40151222 DTXSID10875721 DTXSID30285929 DTXSID70480754 DTXSID80390138 DTXSID20540817 DTXSID70282275 DTXSID70338766 DTXSID10553779
DTXSID60364195	DTXSID20570816 DTXSID10711993 DTXSID70628396 DTXSID20289350 DTXSID60337384 DTXSID20668484 DTXSID50615067 DTXSID10670132 DTXSID1063514 DTXSID90338445 DTXSID70526727 DTXSID70831904 DTXSID70553371 DTXSID90188063 DTXSID50427344 DTXSID80434809 DTXSID80542150 DTXSID60891012 DTXSID70506302 DTXSID20377463
DTXSID20667093	DTXSID80841276 DTXSID80667079 DTXSID00535488 DTXSID00453754 DTXSID20886040 DTXSID8068464 DTXSID30464015 DTXSID80624369 DTXSID00621633 DTXSID50706843 DTXSID00852506 DTXSID90812578 DTXSID50508243 DTXSID60889297 DTXSID80391165 DTXSID30454370 DTXSID50866638 DTXSID30502148 DTXSID50337015 DTXSID2060331
DTXSID10456453	DTXSID60430783 DTXSID30393972 DTXSID00802804 DTXSID80880125 DTXSID30173433 DTXSID70616470 DTXSID60167269 DTXSID40381305 DTXSID80781062 DTXSID20846503 DTXSID80174359 DTXSID50775998 DTXSID60187624 DTXSID40567122 DTXSID10607221 DTXSID00577222 DTXSID00398015 DTXSID70567913 DTXSID40525449 DTXSID00584971
DTXSID10807168	DTXSID80208027 DTXSID10725191 DTXSID60456180 DTXSID90789317 DTXSID20769288 DTXSID80457311 DTXSID90822657 DTXSID40468165 DTXSID50335975 DTXSID10542941 DTXSID3026691 DTXSID6067963 DTXSID60286681 DTXSID6062753 DTXSID80172259 DTXSID80274787 DTXSID60176018 DTXSID40879631 DTXSID00349002 DTXSID10773839
DTXSID80669250	DTXSID40346934 DTXSID50543538 DTXSID40375683 DTXSID40509663 DTXSID00805294 DTXSID40701241 DTXSID80573449 DTXSID20611177 DTXSID00348737 DTXSID70618015 DTXSID80432522 DTXSID90483343 DTXSID50178743 DTXSID40366218 DTXSID60562417 DTXSID30381293 DTXSID80289831 DTXSID10152408 DTXSID4060448 DTXSID9021843
DTXSID10185054	DTXSID00701681 DTXSID10734884 DTXSID00751161 DTXSID40522231 DTXSID40518452 DTXSID80494403 DTXSID70297061 DTXSID80564034 DTXSID10817828 DTXSID20597624 DTXSID10776224 DTXSID20625294 DTXSID50169151 DTXSID50577833 DTXSID10701793 DTXSID60505107 DTXSID90566549 DTXSID5064883 DTXSID80777682 DTXSID60780139
DTXSID30522962	DTXSID30398987 DTXSID10617446 DTXSID10674630 DTXSID50505151 DTXSID00496060 DTXSID30391897 DTXSID80360614 DTXSID00552312 DTXSID00172973 DTXSID60230306 DTXSID30433089 DTXSID80169341 DTXSID90284574 DTXSID10371273 DTXSID30788783 DTXSID70515297 DTXSID50637845 DTXSID90736381 DTXSID10545290 DTXSID50478558
DTXSID80889734	DTXSID10283660 DTXSID00285299 DTXSID90591174 DTXSID00595845 DTXSID50598740 DTXSID70216919 DTXSID20627238 DTXSID80375485 DTXSID80495117 DTXSID40552432 DTXSID60704592 DTXSID30681705 DTXSID80377727 DTXSID10373636 DTXSID60496187 DTXSID70571015 DTXSID30152440 DTXSID20309209 DTXSID30370440 DTXSID50455384
DTXSID90147933	DTXSID70303732 DTXSID60633611 DTXSID10318320 DTXSID20577087 DTXSID30750122 DTXSID00625510 DTXSID00537129 DTXSID70202054 DTXSID10335355 DTXSID60618387 DTXSID30427968 DTXSID20563026 DTXSID70808878 DTXSID00171143 DTXSID80794490 DTXSID8059421 DTXSID90757314 DTXSID30874130 DTXSID40565688 DTXSID60772079
DTXSID50330925	DTXSID30511412 DTXSID20669173 DTXSID20457072 DTXSID80771362 DTXSID40661533 DTXSID50562729 DTXSID20608183 DTXSID20599502 DTXSID70448076 DTXSID80661537 DTXSID30383272 DTXSID80160318 DTXSID8022030 DTXSID9066209 DTXSID50424691 DTXSID70345753 DTXSID50664974 DTXSID70628073 DTXSID50404498 DTXSID2066852
