ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID60642541	XNKVOFYZQVIBRN-UHFFFAOYSA-N	O=C(c1ccc(C(F)(F)F)cc1)C1CCC1	NA	NA	NA	NA	228.076199632	-10.9791168997148	0	0	3	4	2.70577764301692	0	0	0	-0.665765100946072	0	0	0	0.0577211359723923	-6.77600546639363	-0.605780658913681	5.6546943636785	2.64752140689511	1.43842711334798	2.97452780399308	2.97452780399308	-16.1437424989936	NaN	NaN	0	12.9131485800477	-1.05078999039537	-2.09126895055485	0.551039351485738	255.760790440499	0
DTXSID00585781	LZFXIPBZDUSMBH-UHFFFAOYSA-N	COc1ccc2c(c1)CCCC1OC21	NA	NA	NA	NA	190.099379688	-10.7260754381734	0	1	3	4	3.21349850672123	0	0	0	1.50335486408219	0	1	1	0.324261055083339	-4.49591270589508	0.237614709289677	6.8279858310097	3.7531879600309	0.926601958668384	2.85560444422859	2.85560444422859	74.3942163976274	NaN	NaN	0	10.898132513714	-4.31565167524045	-2.71460331336789	0.524813283307165	267.433062363716	0
DTXSID80725840	SUHYFNZXTRHOFB-UHFFFAOYSA-N	CN(c1cccc(B2OC(C)(C)C(C)(C)O2)c1)S(C)(=O)=O	NA	NA	NA	NA	311.136259584001	-10.761751423344	0	1	3	4	2.74870709159666	0	0	0	0.529156957805983	0	0	0	0.0421146493470952	-5.68640343539307	-0.723707466926817	8.41273318878468	3.09577347703865	0.353093147180122	2.23836655908259	2.23846025680265	91.5385707021054	NaN	1.83399156178072	1	13.3114135083792	-5.75466219701088	-3.16981243320839	0.852903317535605	306.664478748881	0
DTXSID80310235	XJQWQCFYYIJOFL-UHFFFAOYSA-N	C[Si](C)(C)C1C=Cc2ccccc2C1[Si](C)(C)C	NA	NA	NA	NA	274.157303892001	-10.4968037390733	0	0	3	5	3.19063768061544	0	0	0	1.02369305799339	0	0	1	0.0114159439230983	-0.572780748933181	0.88316891262825	6.89522885565256	4.01527198847735	3.93384233776075	6.11068322096833	6.11068322096833	-32.4676940892864	NaN	NaN	0	24.3230034030563	0.0942431801187349	-5.39876371267488	2.43573230508502	297.924340916794	1
DTXSID60682745	KNNRDCPSIOHUEG-UHFFFAOYSA-N	N#Cc1ccc(F)c(-c2ccc[nH]c2=O)c1	NA	NA	NA	NA	214.054241064	-10.3311330138401	0	0	3	4	2.90089167844309	0	0	0	1.1391801073836	0	0	0	0.364907278674795	-8.89539193441091	-0.899949761410281	7.44491122611727	2.26988753079893	0.712553388001324	1.71599066203163	1.71610224115473	121.911903487256	NaN	1.90985442339434	0	8.40717345267806	-4.76390349722181	-3.51837238014932	0.524068510305583	325.923354434117	0
DTXSID70497302	FVWHMCXJZMLKPS-UHFFFAOYSA-N	CN(N)c1nnc(Cl)c2ccccc12	NA	NA	NA	NA	208.051573968	-10.5668430950979	0	0	2	3	2.8663387188796	0	0	0	-0.557954819458934	0	0	0	0.381497001536747	-8.229493626756	-0.111675793198582	8.64987150221578	2.04395914094495	0.944940203843174	1.51322091204839	1.5277129411476	190.657612638553	NaN	4.03061104989891	1	7.52578347104684	-6.34324923128199	-2.16910058047441	0.57574659269679	329.779466054714	0
DTXSID50469603	FKTHAJTWXRSXRZ-UHFFFAOYSA-N	CCOc1oc(-c2ccccc2)nc1C(=O)O	NA	NA	NA	NA	233.068807832	-10.9702209383966	0	1	3	5	3.10634741725987	0	0	0	-2.43228972861391	0	0	0	0.424626519307524	-9.54878494617985	-1.04051787793683	9.80867910045508	2.35324775925319	0.473227621919005	1.80802829392151	1.81421911598793	161.512182084247	7.34293690129713	NaN	0	9.41261555264055	-7.8171763724464	-2.5816832288352	0.548869434760678	316.992200856801	0
DTXSID80389587	SBYYYABVYMWKDJ-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(C2CC2)c([N+](=O)[O-])c1	NA	NA	NA	NA	208.048406736	-11.6079167384473	0	1	3	5	2.77183568362833	0	0	0	-0.785156894052352	0	0	0	0.0582103704674638	-6.52504784336756	-0.35969239430007	6.16577391253352	3.13341996702026	1.66065759682708	2.32954637884929	2.33109540778973	103.131330385744	7.94695003488074	NaN	0	12.8419702751417	-4.06936291384288	-2.89698549921398	0.663355041060572	336.264904468431	0
DTXSID90711951	YSAJSJFXHIRBLF-UHFFFAOYSA-N	CN1C(=O)CC(CO)(c2ccccc2)C1=O	NA	NA	NA	NA	219.089543276	-11.0399505981273	0	1	3	5	3.06421278670852	0	0	0	-0.814098661048752	0	0	0	0.641010762167443	-9.16716932066979	-1.06160097475965	10.3433788648466	1.72898077726354	0.369846361075659	0.895675969182256	1.29857112894041	108.858460439074	NaN	5.68431871113551	0	7.4228900082677	-5.77029241758724	-1.39903298755364	0.521800439359344	315.563997098205	0
DTXSID60482363	PGBKGCQABAUWSF-UHFFFAOYSA-N	O=S(O)c1ccc(Oc2ccccc2)cc1	NA	NA	NA	NA	234.03506518	-11.1533711893801	0	1	3	5	3.08346822037026	0	1	0	-1.84999311524184	0	1	1	0.014743265035093	-9.11431014470052	-1.06139462220668	10.6510042078678	2.54327959107879	0.567100071161913	1.61689540137308	2.89304319634171	123.199240541471	4.24747852733635	NaN	0	4.50409476366282	-7.15287645714661	-3.58222900864292	0.778755395274525	332.90344799752	0
