ID	Neighbors
DTXSID40412522	DTXSID20604569 DTXSID10331852 DTXSID3022619 DTXSID00332075 DTXSID50318122 DTXSID6058051 DTXSID10152903 DTXSID40234488 DTXSID20827094 DTXSID50812453 DTXSID50159118 DTXSID40658802 DTXSID90152022 DTXSID00159128 DTXSID30295740 DTXSID10897488 DTXSID80659494 DTXSID70722025 DTXSID60226724 DTXSID90438070
DTXSID40532830	DTXSID10769575 DTXSID10829865 DTXSID20572698 DTXSID80552294 DTXSID10492417 DTXSID40230526 DTXSID90822157 DTXSID80313428 DTXSID90816617 DTXSID20554515 DTXSID20681471 DTXSID70354062 DTXSID50392669 DTXSID80318170 DTXSID80496720 DTXSID70239744 DTXSID70854794 DTXSID80636306 DTXSID80755945 DTXSID60411032
DTXSID60738110	DTXSID10369711 DTXSID50301837 DTXSID40550372 DTXSID60227796 DTXSID10451887 DTXSID70214632 DTXSID60832046 DTXSID60600308 DTXSID40792553 DTXSID00850082 DTXSID50789550 DTXSID50716902 DTXSID20361701 DTXSID90844839 DTXSID70365759 DTXSID30588785 DTXSID90332024 DTXSID90505635 DTXSID20426167 DTXSID90242937
DTXSID10740122	DTXSID90193455 DTXSID20357563 DTXSID20623033 DTXSID70588365 DTXSID10670955 DTXSID40443992 DTXSID30688577 DTXSID80845491 DTXSID10467847 DTXSID40730874 DTXSID70688031 DTXSID60686440 DTXSID10529494 DTXSID20694288 DTXSID30683128 DTXSID80677895 DTXSID60688000 DTXSID10733493 DTXSID00689490 DTXSID50683125
DTXSID50458057	DTXSID10589770 DTXSID00843313 DTXSID90280819 DTXSID00849279 DTXSID30691809 DTXSID40842946 DTXSID00738078 DTXSID00687178 DTXSID70842792 DTXSID50282359 DTXSID10689300 DTXSID80690908 DTXSID50686752 DTXSID30635925 DTXSID20173927 DTXSID00482620 DTXSID10223243 DTXSID90305632 DTXSID70321719 DTXSID00615219
DTXSID40308855	DTXSID50297802 DTXSID30153270 DTXSID40375067 DTXSID60445852 DTXSID50385718 DTXSID10180084 DTXSID90157390 DTXSID40308835 DTXSID10425947 DTXSID50660597 DTXSID0041983 DTXSID30212917 DTXSID10692132 DTXSID20309587 DTXSID00293930 DTXSID90191835 DTXSID80551888 DTXSID60690224 DTXSID30163874 DTXSID80293731
DTXSID00505227	DTXSID80720037 DTXSID20322231 DTXSID10624337 DTXSID40741748 DTXSID80793120 DTXSID60683671 DTXSID20788813 DTXSID20448102 DTXSID00345089 DTXSID80683734 DTXSID70388246 DTXSID60456983 DTXSID70231304 DTXSID80347021 DTXSID00452222 DTXSID10576746 DTXSID80491856 DTXSID40515188 DTXSID70705757 DTXSID30383257
DTXSID10829865	DTXSID80313428 DTXSID10769575 DTXSID40532830 DTXSID80496720 DTXSID10492417 DTXSID70854794 DTXSID80602849 DTXSID60841537 DTXSID70354062 DTXSID80755945 DTXSID60411032 DTXSID20681471 DTXSID20572698 DTXSID20707504 DTXSID20279877 DTXSID80318170 DTXSID50526467 DTXSID80552294 DTXSID40537123 DTXSID30624117
DTXSID20579122	DTXSID70356248 DTXSID00840241 DTXSID00496141 DTXSID80407533 DTXSID20352018 DTXSID70839147 DTXSID70356203 DTXSID70243260 DTXSID10844371 DTXSID60299635 DTXSID00797206 DTXSID50622433 DTXSID30572705 DTXSID9071555 DTXSID40394692 DTXSID30644032 DTXSID60718432 DTXSID60478241 DTXSID10478695 DTXSID40766355
DTXSID60306717	DTXSID50577237 DTXSID20580031 DTXSID70685045 DTXSID70832532 DTXSID80356719 DTXSID30712245 DTXSID80324034 DTXSID00424843 DTXSID50640455 DTXSID20163500 DTXSID70641545 DTXSID70577234 DTXSID70483008 DTXSID90692731 DTXSID50239363 DTXSID90355056 DTXSID80392137 DTXSID20330997 DTXSID30719012 DTXSID20328314
