ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID40532835	DSFGPWQSCKVEFP-UHFFFAOYSA-N	CCC(C)(NC(=O)c1ccccc1)C(=S)c1ccccc1	NA	NA	NA	NA	297.118735228001	-10.8582904282505	0	0	2	5	3.12235092201922	0	0	1	-0.880445515367761	0	1	0	0.0709958991557769	-8.59081160565942	0.285736039932272	10.716285382521	3.43563102937134	2.08421027383132	1.58793814628635	1.588	101.586495603074	NaN	1.65361239538971	0	21.6610449542027	-6.41104373186769	-2.93910511900591	0.64909505742104	262.98	1
DTXSID80325329	BYWXSAXWZVTROL-UHFFFAOYSA-N	CC(=O)Nc1ccc2c(c1)C(=O)c1cccc(F)c1-2	NA	NA	NA	NA	255.06955678	-10.7470625754899	0	1	3	5	3.18599971008123	0	0	0	-0.880362826589168	0	1	0	0.0457619451418863	-10.0969982110372	-0.350569803574894	11.1311728321264	3.3618418380374	1.46978315387338	3.22780569834812	3.22780711877588	142.77358739623	10.985364449352	NaN	0	14.0002014066271	-8.52101069364262	-4.88937977783507	0.713076079421859	351.085483754966	0
DTXSID40161220	GEYVGKSIHPFWJD-UHFFFAOYSA-N	CCOC(=O)C(=O)Cc1nc2ccccc2n(C)c1=O	NA	NA	NA	NA	274.095356928	-10.9316301480273	0	1	3	5	3.14515826036422	0	0	0	0.216191806279446	0	0	0	0.248766224068559	-8.75261308643469	-0.196597811727892	9.72289884283324	2.63208196122663	0.367023595824781	0.643115836241862	0.64321738471432	133.963421698313	NaN	1.86893985884305	0	6.83890197156314	-6.26390140250325	-2.31571707090097	0.525914454146336	342.73758520787	0
DTXSID20644228	QSJULCPJKPCCBM-UHFFFAOYSA-N	COc1cccc(CCC(=O)c2cccc(C)c2C)c1	NA	NA	NA	NA	268.14632988	-10.7207075307362	0	0	3	5	3.2644493264982	0	1	1	0.983769916164147	0	1	1	0.0650842922704928	-8.0325327516462	-0.508699776594671	9.72353474635008	3.7214424586992	2.62950990048479	3.85186685845082	3.85186685845082	67.8484978312095	NaN	NaN	0	19.0201756439247	-5.64622882428124	-5.36053104041178	0.523829688902961	351.492587336461	1
DTXSID10515933	KJRITXODPIPMIQ-UHFFFAOYSA-N	CNC(CC(=O)c1ccc(C)cc1)c1ccccc1	NA	NA	NA	NA	253.146664228	-10.8634331314321	0	0	2	5	3.12357688306973	1	0	1	0.183100826450475	0	0	0	0.211083587604046	-8.99629096831056	0.337755882986825	10.530373488187	2.48319922113541	2.06857093777734	1.13901294960233	1.588	59.3952476556718	NaN	5.75811432729263	0	18.050845748639	-6.08652655446037	-3.271281887738	0.467131313584413	262.98	1
DTXSID80389582	MGICLRNAZXDKAT-UHFFFAOYSA-N	Cc1cc2ccccc2n1CC(=O)O	NA	NA	NA	NA	189.078978592	-10.8546482333756	0	0	3	5	2.95158739914024	0	0	0	-0.804696380149922	0	0	0	0.375900837773096	-8.08200310237838	-0.886987005272721	8.98017543107821	2.31781260124618	0.573641318105561	2.27185924044451	2.38794394946138	139.046189645322	6.01367483970651	NaN	0	5.04725840513368	-5.35898890727995	-2.24460671858071	0.547956922973523	306.514733137824	0
DTXSID90686034	BUNNAJPPRKVAIQ-UHFFFAOYSA-N	CNC(=O)c1cccc(-c2ccc(O)c(Cl)c2)c1	NA	NA	NA	NA	261.055656304	-10.8603967947734	0	0	3	5	3.16596979657755	1	0	1	-0.317860915779515	0	1	0	0.0216411645390052	-9.39802310004458	-0.330118933956115	9.14289588301636	2.87614600261164	2.32543361988083	2.4401232829774	2.45010151899434	202.129246144941	7.13373186877846	NaN	0	13.3296802767028	-9.52455593286758	-4.00035467510615	0.65008766326244	317.812100562347	0
DTXSID8027745	KBAYQFWFCOOCIC-UHFFFAOYSA-N	CC(C)C1CCC2C(CCC3C(C)(CO)CCCC23C)C1	NA	NA	NA	NA	292.276615772001	-10.7798843128041	0	1	3	5	3.48480892122865	1	1	1	-0.271992458590741	1	1	1	0.118415244441961	-5.12214234423192	0.88187513593296	10.6190172761988	3.40746895474252	2.61991284231505	5.32798865773563	5.32798877240034	137.391799896979	12.0783544396277	NaN	0	28.6982801372217	-4.38539062708953	-6.71981467666964	2.06500259772396	308.157440998302	1
DTXSID30644310	ZPSBGFXYGLKJBU-UHFFFAOYSA-N	COc1ccc(C(=O)CCc2ccccc2SC)cc1	NA	NA	NA	NA	286.102750816	-10.7210671180549	0	1	3	4	3.32503831255735	0	1	0	1.43362596965678	0	1	1	0.112919929395521	-8.04402372149063	0.0795064187618448	9.94245792916984	3.89565826182007	2.05271618119039	4.13313815331351	4.13313815331351	65.2534639933006	NaN	NaN	0	16.2721081346513	-5.79826469862252	-4.5331192218744	0.655138586214261	342.961587485685	0
DTXSID70678316	ASAUMTXYOXIECV-UHFFFAOYSA-N	CCOC(=O)C1=C(B2OC(C)(C)C(C)(C)O2)CCN(C(=O)OCc2ccccc2)C1	NA	NA	NA	NA	415.216618080001	-10.4736551213928	0	1	3	5	2.94473863397957	0	0	0	1.105227867271	0	1	1	0.016175608792984	-7.47683632396565	0.956875542441544	11.6896314369926	3.28617699025003	1.17297328041981	2.81145144457773	4.16092604623715	72.6584033934248	NaN	6.82960418200172	0	17.256809095632	-7.71374643468402	-4.3238764705403	0.860534005627355	376.533308344825	0
DTXSID2021155	QGVLYPPODPLXMB-UHFFFAOYSA-N	CC1=CC2C(O)(CC(CO)=CC3C4C(C)(C)C4(O)C(O)C(C)C32O)C1=O	NA	NA	NA	NA	364.188588616001	-9.93846091549287	0	0	3	4	2.55303406023744	0	1	1	-0.702913916634066	1	1	1	0.339825285782865	-10.8125582552413	-0.491706148164378	9.47914997532742	3.92727676883329	0.0189370824137385	0.719245842169929	0.721932121963601	235.929839182411	7.70728923377437	NaN	0	7.58290783358713	-9.54763020718643	-3.82655167268229	2.08992959912321	370.752357169105	0
DTXSID20789224	JLTQNLOAMDETRU-UHFFFAOYSA-N	CC(=O)OC(C(=O)c1ccc(C)cc1)C(=O)c1ccc(C)cc1	NA	NA	NA	NA	310.120509056001	-10.6577763468372	0	1	4	5	3.31950716379721	0	0	1	1.02112393543392	0	1	0	0.0187092013439716	-7.93169839104649	-0.487437395153829	9.98244281191497	3.35943729594176	1.7818631170231	3.11184823878262	3.11184823878262	111.278579369969	NaN	NaN	0	20.5173156259525	-6.35161347876625	-4.34314622035427	0.550808989641559	365.457357958492	1
DTXSID20436509	WZHUXFBGDGTKPW-UHFFFAOYSA-N	CC(C)CC(NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(=O)NC(C)C(=O)O	NA	NA	NA	NA	582.374097940001	-9.98255111397098	0	1	2	5	3.43726047625906	0	0	0	-4.65317787490184	0	0	0	0.511587905490749	-10.6616152984237	-0.654643490014879	9.55065102756781	3.15626322576993	0.611805272957076	-0.920716181744496	1.588	171.166031377266	NaN	8.0073680198861	0	16.8971753746477	-8.10419638895534	-1.74234692217734	0.656159559359352	262.98	3
DTXSID00519349	CZHPJNNANFZNSO-UHFFFAOYSA-N	CC(C)(NC(=O)Cc1ccc(Cl)cc1)c1ccccc1	NA	NA	NA	NA	287.107691876001	-10.860515712693	0	0	2	4	3.27562766434121	0	0	1	-0.444429928844327	0	0	0	0.0563197580279236	-9.29870865424587	0.256329352551454	11.237647097699	3.34106221326329	3.01421089046365	0.843530155472177	1.588	116.560525853066	NaN	6.15822711904831	0	20.5620737078366	-7.64084431114935	-4.24983103507234	0.469129758048361	262.98	1
DTXSID20463597	MOEDNZQWXWFMHN-UHFFFAOYSA-N	CCCCCCCCCCc1ccc(CCCCCCCCCC)c(CCCCCCCCCC)c1	NA	NA	NA	NA	498.516452112002	-10.5369211488904	0	1	4	5	3.32395542298268	0	0	1	-0.494671561028351	0	1	1	0.0149378564589572	-6.13997654718022	0.130405290280496	11.6767687929152	4.46404877482109	1.70995387705338	7.59687821559044	7.59687821559044	27.56	NaN	NaN	0	60.1537756799053	-9.11905115656398	-8.29640084760124	2.0613909314981	484.853201294573	2
DTXSID80604803	VWSOWGFPQXLYBB-UHFFFAOYSA-N	O=S(=O)(C(=Cc1cccc2ccccc12)S(=O)(=O)C(F)(F)F)C(F)(F)F	NA	NA	NA	NA	417.976820056	-10.9139897249043	0	1	3	5	2.62434066261654	0	0	0	-0.22421327338285	0	0	0	0.0342025335392384	-8.54332594606477	0.205869579604063	8.84347011767593	2.64382538452344	2.20605720300102	5.65244730796103	5.65244730796103	117.719808663709	NaN	NaN	0	19.7484833425987	-7.41283919899553	-4.08322815796683	0.684790855780628	403.30731143254	1
DTXSID40803850	JWOIYRMTVFKYKH-UHFFFAOYSA-N	CCOC(=O)CC1=CCCC(c2ccccc2)CCC1	NA	NA	NA	NA	272.177630008	-10.3161273737794	0	1	4	5	3.49882191506835	0	0	0	-0.59326673457036	0	0	0	0.0198217862178929	-6.59712462639049	-0.42801591648135	8.51926558378298	3.23548063219575	2.55518643058013	5.14020075181016	5.14020075181016	41.3802194850814	NaN	NaN	1	24.2416784439277	-5.12198048989235	-5.00294259571389	0.524981226245836	337.164530011932	1
DTXSID60683297	POUVHDJDDCJNJK-UHFFFAOYSA-N	Cc1cc(Cl)cc(-c2ccccc2C(=O)O)c1	NA	NA	NA	NA	246.044757272	-10.8470851588607	0	0	3	4	2.98429046310812	1	1	1	-3.16740547502969	0	1	0	0.00915441822434434	-8.73327856374492	-0.706185751243948	10.1876783579002	2.65603338683267	0.778510538370616	2.18086039038168	3.8045722106649	167.03902568394	3.88674233832979	NaN	0	14.4863223335538	-5.88714646419062	-3.84793132629391	0.669428377944819	316.800348680811	1
DTXSID70517938	OBVVZWOSQMVVQF-UHFFFAOYSA-N	C[N+]1(CCOC(=O)COCc2ccccc2)CCOCC1	NA	NA	NA	NA	294.170533248001	-10.7662842250326	0	1	2	5	3.09789209966432	0	0	0	1.06760634532869	0	0	0	0.742470569917662	-6.96376370399218	-0.342376579593824	8.95489177974585	2.62669088640754	0.627015239682919	0.0286641338543931	1.588	163.322361011757	NaN	7.04718776675949	1	9.55497283573697	-5.13993114203773	-3.29603547713899	0.754465416212059	262.98	0
