ID	Neighbors
DTXSID00219397	DTXSID90205042 DTXSID10601800 DTXSID10802875 DTXSID50660057 DTXSID20442069 DTXSID80448744 DTXSID40586393 DTXSID60148755 DTXSID40545263 DTXSID70874114 DTXSID40855612 DTXSID80856966 DTXSID10576443 DTXSID50614530 DTXSID90186741 DTXSID80555942 DTXSID80160338 DTXSID30344348 DTXSID30315619 DTXSID10633247
DTXSID90796243	DTXSID10532589 DTXSID10332682 DTXSID50573678 DTXSID90563432 DTXSID20164799 DTXSID40844349 DTXSID80456889 DTXSID00342573 DTXSID10348829 DTXSID90406077 DTXSID10171932 DTXSID80311505 DTXSID00389387 DTXSID30179955 DTXSID90710328 DTXSID90528763 DTXSID70522002 DTXSID60300775 DTXSID40577246 DTXSID0047080
DTXSID5059294	DTXSID20482425 DTXSID80438943 DTXSID50215142 DTXSID0067973 DTXSID40704313 DTXSID20227353 DTXSID20548515 DTXSID20188814 DTXSID30805202 DTXSID60555763 DTXSID50297786 DTXSID50471746 DTXSID4071558 DTXSID80402967 DTXSID50551815 DTXSID00438940 DTXSID90372102 DTXSID00879758 DTXSID60366371 DTXSID60767662
DTXSID60839878	DTXSID70700540 DTXSID60725888 DTXSID10542229 DTXSID40722355 DTXSID70752589 DTXSID70401328 DTXSID40213793 DTXSID90362866 DTXSID00564430 DTXSID30337295 DTXSID40307828 DTXSID10302441 DTXSID10202811 DTXSID60474662 DTXSID20511663 DTXSID80744617 DTXSID80376371 DTXSID6052160 DTXSID30612014 DTXSID70278350
DTXSID10641226	DTXSID80405913 DTXSID10336044 DTXSID70839602 DTXSID9075034 DTXSID70427806 DTXSID40881219 DTXSID00172791 DTXSID00190970 DTXSID60148114 DTXSID10455067 DTXSID40613693 DTXSID40639914 DTXSID90519873 DTXSID40633755 DTXSID40819936 DTXSID30334547 DTXSID00538010 DTXSID70335952 DTXSID30405887 DTXSID80565223
DTXSID10464053	DTXSID80752191 DTXSID60653036 DTXSID60378833 DTXSID10178901 DTXSID40645878 DTXSID60201798 DTXSID50587679 DTXSID30854452 DTXSID60547385 DTXSID60182134 DTXSID80211278 DTXSID80876962 DTXSID90833743 DTXSID80450483 DTXSID50651920 DTXSID20470069 DTXSID80447212 DTXSID20671554 DTXSID90450510 DTXSID50433768
DTXSID90384083	DTXSID90855889 DTXSID90637940 DTXSID90653286 DTXSID50180003 DTXSID70369459 DTXSID80348937 DTXSID80203254 DTXSID30606079 DTXSID80362875 DTXSID40491413 DTXSID70610796 DTXSID10201703 DTXSID2062876 DTXSID70420716 DTXSID40239933 DTXSID90652976 DTXSID90734448 DTXSID60357941 DTXSID20161849 DTXSID20563001
DTXSID40565209	DTXSID30241626 DTXSID30170088 DTXSID80284144 DTXSID80168218 DTXSID80368312 DTXSID80812724 DTXSID80553827 DTXSID80528171 DTXSID90748747 DTXSID60478261 DTXSID20470701 DTXSID90211244 DTXSID6026955 DTXSID80716056 DTXSID30206876 DTXSID00717207 DTXSID00363940 DTXSID50304328 DTXSID10296896 DTXSID70381833
DTXSID6061783	DTXSID90480857 DTXSID0026048 DTXSID40336931 DTXSID50176946 DTXSID5061586 DTXSID20753703 DTXSID50409089 DTXSID20572572 DTXSID70782164 DTXSID50316507 DTXSID40195065 DTXSID00336932 DTXSID80818923 DTXSID20835270 DTXSID40680628 DTXSID00764433 DTXSID10631223 DTXSID80672926 DTXSID10773071 DTXSID10176947
DTXSID90814592	DTXSID50810196 DTXSID70769117 DTXSID70765710 DTXSID10592300 DTXSID40891954 DTXSID10887223 DTXSID20178992 DTXSID80873890 DTXSID40768430 DTXSID70774524 DTXSID30539797 DTXSID70658870 DTXSID30569958 DTXSID40203795 DTXSID00217151 DTXSID30757075 DTXSID90712120 DTXSID20293917 DTXSID80751048 DTXSID5042243
