ID	Neighbors
DTXSID50183332	DTXSID10740945 DTXSID00216462 DTXSID60540290 DTXSID70659741 DTXSID20698382 DTXSID90158908 DTXSID40749108 DTXSID70525199 DTXSID40809796 DTXSID10705074 DTXSID70842772 DTXSID60849851 DTXSID00540274 DTXSID20409551 DTXSID60186899 DTXSID90416414 DTXSID30283400 DTXSID50524908 DTXSID40839311 DTXSID60611570
DTXSID40491832	DTXSID20469751 DTXSID90636236 DTXSID10637023 DTXSID50298652 DTXSID20315522 DTXSID20574394 DTXSID20434606 DTXSID80819879 DTXSID20525720 DTXSID20764556 DTXSID00160618 DTXSID60326531 DTXSID00714236 DTXSID80413356 DTXSID80710938 DTXSID90406618 DTXSID20533264 DTXSID30739997 DTXSID20475458 DTXSID6042606
DTXSID00878382	DTXSID70836656 DTXSID00191528 DTXSID00878160 DTXSID40320294 DTXSID50417043 DTXSID70169294 DTXSID20834460 DTXSID60795405 DTXSID10702306 DTXSID10198265 DTXSID20155167 DTXSID40384356 DTXSID00316471 DTXSID20387067 DTXSID40733446 DTXSID80151009 DTXSID40147685 DTXSID20358010 DTXSID60194414 DTXSID00410882
DTXSID40223539	DTXSID00279390 DTXSID60169783 DTXSID00568877 DTXSID50767858 DTXSID80747683 DTXSID00148875 DTXSID30543874 DTXSID40461818 DTXSID90451966 DTXSID80411357 DTXSID60403376 DTXSID10572066 DTXSID10142884 DTXSID6057825 DTXSID60727180 DTXSID60637937 DTXSID40507568 DTXSID50145213 DTXSID30228215 DTXSID70843148
DTXSID00459150	DTXSID50471463 DTXSID80298185 DTXSID70362869 DTXSID70447423 DTXSID60198533 DTXSID80309063 DTXSID90544640 DTXSID10726608 DTXSID10842771 DTXSID40391808 DTXSID1068304 DTXSID50146048 DTXSID30346504 DTXSID40802621 DTXSID50711078 DTXSID60573629 DTXSID00174194 DTXSID60166737 DTXSID80570014 DTXSID40593926
DTXSID50458052	DTXSID20303823 DTXSID20284749 DTXSID90514424 DTXSID70313917 DTXSID20377564 DTXSID70313316 DTXSID50433889 DTXSID40182571 DTXSID60872346 DTXSID30319738 DTXSID10213942 DTXSID80848705 DTXSID90784266 DTXSID70207029 DTXSID40758194 DTXSID30828370 DTXSID10226673 DTXSID20843592 DTXSID00192813 DTXSID7046099
DTXSID40731700	DTXSID00176254 DTXSID50830233 DTXSID90799810 DTXSID90178247 DTXSID90431748 DTXSID70595059 DTXSID30547211 DTXSID40522998 DTXSID80542872 DTXSID50595052 DTXSID40756039 DTXSID00507246 DTXSID80522997 DTXSID60299291 DTXSID30595050 DTXSID70385598 DTXSID50853846 DTXSID80280449 DTXSID20189846 DTXSID10737451
DTXSID60241215	DTXSID90769573 DTXSID8023503 DTXSID2072093 DTXSID80389522 DTXSID7048160 DTXSID90737575 DTXSID70287629 DTXSID90822258 DTXSID80315861 DTXSID50238619 DTXSID20315527 DTXSID50411622 DTXSID00230744 DTXSID2069868 DTXSID1072555 DTXSID90559158 DTXSID70463224 DTXSID00713204 DTXSID30712967 DTXSID40326630
DTXSID30692856	DTXSID60669854 DTXSID00236721 DTXSID70160529 DTXSID70470458 DTXSID10411249 DTXSID60874946 DTXSID1022893 DTXSID60587903 DTXSID20233833 DTXSID70692855 DTXSID40469657 DTXSID10169319 DTXSID40417456 DTXSID50857945 DTXSID70890177 DTXSID50816274 DTXSID60151724 DTXSID20536654 DTXSID60648669 DTXSID60299115
DTXSID50893484	DTXSID60608703 DTXSID40385924 DTXSID80487012 DTXSID50388446 DTXSID40373260 DTXSID90422398 DTXSID50416839 DTXSID70557511 DTXSID30811141 DTXSID20512857 DTXSID10746048 DTXSID20333206 DTXSID20851415 DTXSID90185395 DTXSID80653038 DTXSID40147009 DTXSID10278637 DTXSID30736128 DTXSID10402298 DTXSID70543530
