ID	inchikey	SMILES	GHS_category	EPA_category	consensus_LD50	LD50_mgkg	MolWeight	LogOH_pred	CATMoS_VT_pred	CATMoS_NT_pred	CATMoS_EPA_pred	CATMoS_GHS_pred	CATMoS_LD50_pred	CERAPP_Ago_pred	CERAPP_Anta_pred	CERAPP_Bind_pred	Clint_pred	CoMPARA_Ago_pred	CoMPARA_Anta_pred	CoMPARA_Bind_pred	FUB_pred	LogHL_pred	LogKM_pred	LogKOA_pred	LogKoc_pred	LogBCF_pred	LogD55_pred	LogP_pred	MP_pred	pKa_a_pred	pKa_b_pred	ReadyBiodeg_pred	RT_pred	LogVP_pred	LogWS_pred	BioDeg_LogHalfLife_pred	BP_pred	nbLipinskiFailures
DTXSID20346573	LQUBXCVRJZGBLM-UHFFFAOYSA-N	c1ccc(-c2ccn(-c3ccccc3)n2)cc1	NA	NA	NA	NA	220.100048384	-10.4295757969748	0	0	3	4	2.98417908562707	0	0	0	0.608551106486291	0	1	1	0.0483599634815147	-5.42826389680376	0.478571971897991	8.95377213072914	3.62398871743144	2.11928676847088	3.64734687854273	3.64734689992529	73.9317546508656	12.8077245857226	NaN	0	18.4376500181632	-4.02982492705491	-4.8568889138182	1.08329950667967	320.635029383499	1
DTXSID80424644	ZRHZHIOHCZQIBS-UHFFFAOYSA-N	CCCn1nc(C)c(-c2cc(C(=O)O)[nH]n2)c1C	NA	NA	NA	NA	248.127325752	-10.8614335791395	0	0	2	4	2.638317220324	0	0	0	-2.27268454211874	0	1	1	0.448280763560262	-9.67439690170728	-0.0889249058050041	8.16838244229339	1.98895219803086	0.5139487561684	0.775964232796413	1.588	185.083076768639	NaN	6.23932534763663	0	4.72590857562924	-7.98144886495945	-2.65765310588914	0.524592233932321	262.98	0
DTXSID00169686	DIWPLFACHHSSKO-UHFFFAOYSA-N	COC(=O)c1cccn1S(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-]	NA	NA	NA	NA	343.986984688	-10.9790719657055	0	1	4	5	3.11671385043381	0	0	0	0.761523820286099	0	0	0	0.100546008961578	-8.28629080103105	0.255097624572628	10.1799477673654	1.6492579225797	0.831285040443794	1.82507520976081	1.82507521138579	81.3406295216158	NaN	-2.92693568987583	0	11.5534518595293	-7.22882069214855	-4.11827996789537	0.690163280524987	358.71377677296	0
DTXSID80468083	HUDDCCGNQQQGEE-UHFFFAOYSA-N	C#Cc1cncc(N2CCC3(CCCN3)C2)c1	NA	NA	NA	NA	227.142247544	-10.7196392037232	0	0	2	4	2.51053418974251	0	0	0	0.786183562356803	0	1	0	0.726275785642032	-6.28999879563535	-0.170628827516381	9.8028964552869	2.18277117644641	0.830839465882126	-1.26590120279635	1.59360247575708	141.261455042599	NaN	8.35890308468365	0	9.41867291973051	-5.47545285055662	-2.83838195909196	0.524888769540074	340.854720249353	0
DTXSID90897204	BEKQPDFPPJFVJP-UHFFFAOYSA-N	C=C1CCCC(C)(C)C1CC=C(C=O)C=COC(C)=O	NA	NA	NA	NA	276.172544628001	-9.74860204383329	0	1	3	5	3.36590103488929	0	0	0	0.292380078615883	0	0	0	0.112774560308367	-6.62989591576433	0.122829676731256	8.5344723515912	2.84296467919041	1.64357363600992	5.19208918642832	5.19208918642832	42.5504636945332	NaN	NaN	0	16.9688486803259	-5.1372729609562	-4.15586726296914	0.549233352229165	314.274468424638	0
DTXSID80804669	LPJHLRNSFZDXPH-UHFFFAOYSA-N	O=C(C(=NO)c1ccccc1)c1ccncn1	NA	NA	NA	NA	227.069476528	-10.939903733165	0	0	3	5	3.11184249532555	0	0	0	0.379684305533609	0	0	0	0.401713437538723	-8.47255644418878	-0.752620907775406	7.77021773343207	2.22030059058181	0.473164692551585	3.74771655653421	3.74773179721406	126.988164812117	NaN	1.04522764936662	0	8.69891057814609	-6.59526196754167	-2.99652984904079	0.548687485109779	317.331684582714	0
DTXSID30322404	FNTAFVLDSIQFTF-UHFFFAOYSA-N	CC(=O)Oc1cc(OC(C)=O)c(OC(C)=O)c2c1CCCC2	NA	NA	NA	NA	306.110338296001	-10.9720108688853	0	1	3	5	3.42065788908541	0	0	0	-0.262336294054205	0	0	0	0.24392670180313	-8.74573895632973	-0.180924302339906	9.39269258215122	2.84744056855956	1.29112734054264	2.91243962285048	2.91243962285048	80.9740019732103	NaN	NaN	0	17.0490425419867	-6.57732010233509	-3.92537353483276	0.758211085572994	349.728886312231	0
DTXSID70434696	KLIBTBNNCGHLPY-UHFFFAOYSA-N	CC1CCC(Nc2ccc(I)cc2Cl)=N1	NA	NA	NA	NA	333.973374064	-10.6868768525626	0	0	2	3	2.85114235258289	0	0	0	-0.70466317206321	0	0	1	0.401695266321691	-8.82998861162387	-0.15892086436786	9.80255609226151	3.06370576636329	1.5833581921959	-0.59881180254902	1.588	165.656842751161	NaN	7.68397787526878	0	16.8899565039397	-3.72936930514126	-3.84279138024192	0.410558318255353	262.98	0
DTXSID10284071	CEGOCWZGIDQKJH-UHFFFAOYSA-N	Clc1ccc(N(CC2CO2)CC2CO2)cc1	NA	NA	NA	NA	239.071306368	-10.8486534050588	0	0	3	4	2.86933591963003	0	0	0	1.27261852481851	0	0	1	0.153161996379201	-6.19212309610023	-0.0957415781684042	8.42069231414486	2.37109881590282	1.45104794322579	2.40794173187219	2.4079418236532	59.8988117956297	NaN	-1.17503145937525	0	12.3796346661936	-4.46127206876672	-3.08779792856276	0.638600144256499	299.72777874587	0
DTXSID10602574	JYSQMNTXQONMGI-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(C(=S)N2CCCCCC2)cc1	NA	NA	NA	NA	264.093248752	-10.780517347854	0	1	3	4	2.96332471251588	0	0	0	-0.219887170112378	0	0	0	0.133823538320727	-8.07867237060007	0.136599438164592	8.84347011767593	3.25117783371192	1.98149393430411	3.31527332218746	3.31859786228007	90.7044955203246	NaN	3.38561059387527	0	15.7010726988132	-6.72125471051305	-4.47929081475539	0.550509711573333	331.347968852794	0
