"","RPCS","TATP","Petitj3D","grav","ASPAN","PMI1","GETAWAY14","GETAWAY43","GETAWAY44","GETAWAY171","GETAWAY172","GETAWAY174","GETAWAY182","GETAWAY183","GETAWAY191","GETAWAY192","GETAWAY198","GETAWAY201","GETAWAY214","GETAWAY219","GETAWAY234","GETAWAY237","GETAWAY245","GETAWAY246","GETAWAY250","GETAWAY254","GETAWAY255","GETAWAY261","GETAWAY264","MORSE193","AUTOCORR3D33","PNSA1","PNSA2","W3DH","PMI2","GETAWAY60","GETAWAY119","AUTOCORR3D1","AUTOCORR3D2","ASA","PPSA1"
"scale",11.3520229485693,85.5351640698795,0.122553236583897,76.0915035154179,0.0440601979903799,3084.00332066304,726.062961213064,Inf,Inf,Inf,49277290.3239466,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,14481.5949732666,1117.00718128136,14.7735712878032,25.3717816425856,11671.1985862617,17190.0897547407,3.87111638233397e+116,7.71437465066804e+127,1016.67366275446,544.764060117952,193.53858703691,3.78910650341839
"center",2.3483121690467,3.78146973099189,0.801976863759166,84.1820976624212,0.456601742313135,1529.32930990737,112.444417599382,9.85663103049075e+299,1.97132657918447e+300,3.11009996140486e+257,21549401.8631221,6.22020069471247e+257,9.46784124533642e+291,9.46784124533642e+291,9.85663103049075e+299,1.97132657918447e+300,2.07339997426991e+257,2.07339997426991e+257,1.28256721986363e+272,1.28256721986363e+272,6.22019992280973e+257,6.22019992280973e+257,9.85663103049075e+299,1.97132657918447e+300,1.28256721986363e+272,6.62748887173549e+292,6.62748887173549e+292,3.05895445773859e+299,6.11791007333129e+299,9883.05702984691,683.768355075261,3.79774270513315,-4.74465342364595,4565.90939628715,7496.74024806252,4.39078219477679e+114,8.74996655088126e+125,601.321497491316,-3.34598700630387,542.143419271838,0.373916148076676
